kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source,source_id,n_transits_used,verdict
source,m6_cache_20260824T181908,5,,,,97,0.024,,5.378176881487146e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,81,0.024,,2.0724870980746732e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,73,0.023,,2.200129682115593e+17,608.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,97,0.024,,4.61806380864053e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,81,0.022,,2.5016969925404165e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,75,0.021,,5.3361908961734e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,90,0.025,,1.8208199503208735e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,5,,,,75,0.025,,4.52671195020265e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,88,0.021,,1.4497310306888806e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,75,0.02,,4.5787923757362504e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,4,0.019,,1.1099025667118924e+18,9.0,INCONCLUSIVE
source,m6_cache_20260824T181908,5,,,,97,0.028,,9.881734697366831e+17,637.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,97,0.023,,4.140833375375706e+16,637.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,4,0.016,,3.4769533653394944e+17,34.0,INCONCLUSIVE
source,m6_cache_20260824T181908,5,,,,74,0.022,,3.353857674171393e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,5,,,,90,0.021,,2.909342818326298e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,5,,,,90,0.019,,3.6193990094060314e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,5,,,,77,0.019,,6.148133675775194e+18,558.0,CONFIRMED
batch,m6_cache_20260824T181908,6,20.0,0.0,0.0,0,0.0,0.0,,,
source,m6_cache_20260824T181908,6,,,,75,0.023,,6.808640031752342e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,81,0.021,,6.345215740573418e+18,462.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,115,0.019,,5.1341073547832294e+17,824.0,CONFIRMED
source,m6_cache_20260824T181908,6,,,,74,0.021,,5.345291278987918e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,81,0.019,,1.2581326770528074e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,97,0.018,,4.4295649782840105e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,97,0.022,,6.476764747694403e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,97,0.021,,6.37079323289419e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,74,0.017,,6.56553667082117e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,97,0.019,,7.807627988627412e+17,637.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,115,0.022,,4.741144892600309e+18,824.0,CONFIRMED
source,m6_cache_20260824T181908,6,,,,81,0.018,,7.789769514604132e+17,462.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,74,0.019,,6.242043204425227e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,97,0.019,,5.374440122503157e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,81,0.024,,3.7372753145579684e+18,462.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,97,0.021,,1.5699174097712768e+18,637.0,SPURIOUS
