refit_status,refit_method,refit_code_version,refit_n_ccd,refit_rms_single_mas,refit_peak_period_d,refit_peak_fap,refit_period_d,refit_period_err_d,refit_ecc,refit_ecc_err,refit_a0_mas,refit_a0_err_mas,refit_inc_deg,refit_omega_deg,refit_bigomega_deg,refit_tp_d,refit_parallax_mas,refit_parallax_err_mas,refit_pmra_masyr,refit_pmdec_masyr,refit_mass_function_msun,refit_m1_msun,refit_m1_sigma_msun,refit_m1_source,refit_m2_msun,refit_m2_p05,refit_m2_p16,refit_m2_p50,refit_m2_p84,refit_m2_p95,refit_m2_posterior_n,refit_posterior_method,refit_seconds,refit_notes,source_id,refit_run_id,refit_produced_utc
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",824,0.154212,568.39628,2.7659409714486953e-151,578.959816,2.99373,0.41481455,0.06175359,0.25509213,0.00880142,120.926513,213.545412,174.455835,51.26648,13.6598457,0.00647449,-75.532276,17.965618,2.59e-06,0.806268,0.050546,triage_frame:binary_masses,0.012018,0.010969,0.011367,0.012014,0.012644,0.013072,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.435,"L21 zero-point APPLIED before the mass function: Z -36.4 uas, parallax 13.623494 -> 13.659846 mas; mass function 68% CI 0.0000-0.0000 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0000 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",5333771489506466432,m9_refit_20260824T181959,2026-08-24T22:20:11Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,1.262614,83.92591,3.2898421220691016e-260,83.837596,0.012901,0.30532918,0.0098031,1.85118559,0.01722364,8.609223,203.884355,155.09099,8.924381,25.3446075,0.01141111,-582.468285,-0.551818,0.00739626,0.471088,0.049897,triage_frame:binary_masses,0.14036,0.124916,0.131101,0.140364,0.149195,0.155018,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.396,"L21 zero-point APPLIED before the mass function: Z -35.2 uas, parallax 25.309416 -> 25.344608 mas; mass function 68% CI 0.0072-0.0076 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0074 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",1820819950320873472,m9_refit_20260824T181959,2026-08-24T22:20:12Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,1.262614,83.92591,3.2898421220691016e-260,83.837596,0.012901,0.30532918,0.0098031,1.85118559,0.01722364,8.609223,203.884355,155.09099,8.924381,25.3375305,0.01141111,-582.468285,-0.551818,0.00740246,0.112671,0.011267,triage_frame:photometric_ms,0.060564,0.054681,0.057011,0.060547,0.063927,0.06619,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.436,"L21 zero-point APPLIED before the mass function: Z -28.1 uas, parallax 25.309416 -> 25.337531 mas; mass function 68% CI 0.0072-0.0076 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0074 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",2909342818326298112,m9_refit_20260824T181959,2026-08-24T22:20:12Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,1.262614,83.92591,3.2898421220691016e-260,83.837596,0.012901,0.30532918,0.0098031,1.85118559,0.01722364,8.609223,203.884355,155.09099,8.924381,25.3533705,0.01141111,-582.468285,-0.551818,0.0073886,0.633156,0.050616,triage_frame:binary_masses,0.16801,0.153985,0.159494,0.167963,0.176119,0.181618,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.456,"L21 zero-point APPLIED before the mass function: Z -44.0 uas, parallax 25.309416 -> 25.353371 mas; mass function 68% CI 0.0072-0.0076 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0074 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",3619399009406031360,m9_refit_20260824T181959,2026-08-24T22:20:13Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,6.605128,1667.222463,0.0,4183.679384,72.221447,0.72781609,0.00353983,27.11004173,0.3675281,110.545595,78.219406,136.360346,241.867519,1.70185545,0.00652344,-28.343481,-155.170423,30.81077414,0.609627,0.050335,triage_frame:binary_masses,31.996047,31.27499,31.55629,31.995978,32.43918,32.725435,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.421,"L21 zero-point APPLIED before the mass function: Z -42.1 uas, parallax 1.659797 -> 1.701855 mas; mass function 68% CI 30.3846-31.2433 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 30.8096 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",6148133675775194496,m9_refit_20260824T181959,2026-08-24T22:20:13Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",824,0.154212,568.39628,2.7659409714486953e-151,578.959816,2.99373,0.41481455,0.06175359,0.25509213,0.00880142,120.926513,213.545412,174.455835,51.26648,13.6678497,0.00647449,-75.532276,17.965618,2.59e-06,0.350079,0.050037,triage_frame:binary_masses,0.006909,0.005733,0.0062,0.006905,0.007578,0.008017,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.426,"L21 zero-point APPLIED before the mass function: Z -44.4 uas, parallax 13.623494 -> 13.667850 mas; mass function 68% CI 0.0000-0.0000 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0000 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",513410735478322944,m9_refit_20260824T181959,2026-08-24T22:20:13Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",824,0.154212,568.39628,2.7659409714486953e-151,578.959816,2.99373,0.41481455,0.06175359,0.25509213,0.00880142,120.926513,213.545412,174.455835,51.26648,13.6525117,0.00647449,-75.532276,17.965618,2.6e-06,0.575299,0.050495,triage_frame:binary_masses,0.009613,0.008544,0.008957,0.00961,0.010235,0.010668,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.45,"L21 zero-point APPLIED before the mass function: Z -29.0 uas, parallax 13.623494 -> 13.652512 mas; mass function 68% CI 0.0000-0.0000 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0000 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",4741144892600308736,m9_refit_20260824T181959,2026-08-24T22:20:14Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",824,0.154212,568.39628,2.7659409714486953e-151,578.959816,2.99373,0.41481455,0.06175359,0.25509213,0.00880142,120.926513,213.545412,174.455835,51.26648,13.6539897,0.00647449,-75.532276,17.965618,2.6e-06,0.55827,0.050331,triage_frame:binary_masses,0.009422,0.008354,0.008765,0.009419,0.010045,0.010479,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.44,"L21 zero-point APPLIED before the mass function: Z -30.5 uas, parallax 13.623494 -> 13.653990 mas; mass function 68% CI 0.0000-0.0000 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0000 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",4690033098152050944,m9_refit_20260824T181959,2026-08-24T22:20:14Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",558,6.605128,1667.222463,0.0,4183.679384,72.221447,0.72781609,0.00353983,27.11004173,0.3675281,110.545595,78.219406,136.360346,241.867519,1.70269645,0.00652344,-28.343481,-155.170423,30.76514228,0.493378,0.049962,triage_frame:binary_masses,31.729351,31.010305,31.290495,31.72937,32.171526,32.457058,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.469,"L21 zero-point APPLIED before the mass function: Z -42.9 uas, parallax 1.659797 -> 1.702696 mas; mass function 68% CI 30.3398-31.1968 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 30.7640 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",2764969554255024384,m9_refit_20260824T181959,2026-08-24T22:20:15Z
OK,kepmodel_spleaf_astro,"orbital_refit_arm 1.0 (M7, 2026-08-23)",824,0.154212,568.39628,2.7659409714486953e-151,578.959816,2.99373,0.41481455,0.06175359,0.25509213,0.00880142,120.926513,213.545412,174.455835,51.26648,13.6684577,0.00647449,-75.532276,17.965618,2.59e-06,0.53454,0.049884,triage_frame:binary_masses,0.009145,0.00808,0.008491,0.009143,0.009764,0.010195,20000,laplace_mvn_from_loglike_hessian x M1 prior; mass function solved per draw,0.424,"L21 zero-point APPLIED before the mass function: Z -45.0 uas, parallax 13.623494 -> 13.668458 mas; mass function 68% CI 0.0000-0.0000 Msun; a0^3/(P_yr^2 plx^3) shortcut gives 0.0000 (3.8e-05 rel.); 0/20000 draws rejected as unphysical; 0 negative Hessian eigenvalue(s) clipped",3418769439060150272,m9_refit_20260824T181959,2026-08-24T22:20:15Z
