source_id,ra,dec,w3sky,w4sky,w3conf,w4conf,w3sigsk,w4sigsk,w3rchi2,w4rchi2,nb,na,ext_flg,w3snr,w4snr,dist_x,designation_aw,glat,ecl_lat
1990896978708595968,347.00587172069294,49.35960408099496,1353.851,389.238,4.758,4.032,26.983,11.125,1.105,0.8451,1,0,0,2.7,2.4,0.32215,J230801.42+492134.8,-10.115568535809878,48.97735666607624
1991031840682253440,348.4314499082953,50.01671605012272,1325.244,382.404,7.169,3.613,26.441,10.251,0.9457,0.9017,1,0,0,2.5,2.1,0.156713,J231343.53+500100.2,-9.862928889284387,48.96089465621922
1992154746993281280,348.4761308095979,51.69007255950692,1341.294,383.568,3.89,2.709,28.544,11.364,0.8311,0.9129,1,0,0,3.7,2.5,0.203115,J231354.25+514124.4,-8.320458338542753,50.280503114130575
1992378531970582272,350.0161508625744,52.18670953393529,1382.151,393.395,0.0,0.265,26.865,10.622,1.014,1.004,1,0,1,2.7,2.4,0.466888,J232003.83+521111.9,-8.199203735139921,50.094456452193526
1992728077889561472,351.2834156305991,53.315553150745046,1363.857,386.55,3.657,1.693,25.706,10.329,0.9604,1.045,1,0,0,2.5,2.1,0.185346,J232508.02+531855.8,-7.397931245544704,50.513685225696356
1992732540354851712,351.71890797563185,53.42183417035144,1361.595,387.768,5.711,3.456,28.594,10.357,0.8969,0.9709,1,0,0,2.3,2.3,0.057971,J232652.53+532518.6,-7.382416860339911,50.43660205764364
1993538967708657920,357.7417557753423,54.038951915065184,1423.674,403.144,3.239,1.395,27.876,10.374,0.96,0.9771,1,0,0,2.0,2.1,0.224506,J235058.01+540220.4,-7.785466031166628,48.749088820874654
1993629810561004800,358.96901374606205,54.381134107443145,1427.756,405.378,1.97,1.515,28.095,10.935,0.8898,1.001,2,1,0,3.5,2.1,0.35922,J235552.52+542252.1,-7.613496800224897,48.59019059991774
1994405206777823104,354.9953908360148,54.75123671499452,1425.761,398.934,0.224,1.488,23.269,10.866,0.9833,1.045,1,0,0,7.6,3.8,0.127148,J233958.88+544504.5,-6.689667907101625,50.290356929798946
1994689945927387520,358.9763623131307,55.65403670878038,1418.134,400.54,6.463,2.754,27.096,10.747,1.063,0.9297,1,0,0,4.0,2.8,0.325195,J235554.33+553914.8,-6.37132667337338,49.59879531122087
