band,donor,f_true,inject_psf,recover_psf,f_rec,ratio,lam_um
2-medium,con,0.01,epsf,gauss,0.004108152838027051,0.4108152838027051,9.49160007853061
2-medium,con,0.01,epsf,epsf,0.008476204869736865,0.8476204869736865,9.49160007853061
2-medium,con,0.02,gauss,gauss,0.02174625385511289,1.0873126927556445,9.49160007853061
2-medium,con,0.02,gauss,epsf,0.026655843250292764,1.3327921625146382,9.49160007853061
2-medium,con,0.02,epsf,gauss,0.016138640046150107,0.8069320023075054,9.49160007853061
2-medium,con,0.02,epsf,epsf,0.02069122941334755,1.0345614706673774,9.49160007853061
2-medium,con,0.05,gauss,gauss,0.048883284038036316,0.9776656807607262,9.49160007853061
2-medium,con,0.05,gauss,epsf,0.05400924448268016,1.080184889653603,9.49160007853061
2-medium,con,0.05,epsf,gauss,0.04710553473650222,0.9421106947300443,9.49160007853061
2-medium,con,0.05,epsf,epsf,0.05173855140202098,1.0347710280404194,9.49160007853061
2-medium,con,0.1,gauss,gauss,0.10196097481977853,1.0196097481977853,9.49160007853061
2-medium,con,0.1,gauss,epsf,0.10702693687278755,1.0702693687278755,9.49160007853061
2-medium,con,0.1,epsf,gauss,0.09168600889704201,0.91686008897042,9.49160007853061
2-medium,con,0.1,epsf,epsf,0.09622444428867893,0.9622444428867893,9.49160007853061
2-medium,con,0.3,gauss,gauss,0.29778869531426433,0.9926289843808811,9.49160007853061
2-medium,con,0.3,gauss,epsf,0.3024485860451746,1.0081619534839155,9.49160007853061
2-medium,con,0.3,epsf,gauss,0.29671818379928966,0.9890606126642989,9.49160007853061
2-medium,con,0.3,epsf,epsf,0.301331425822319,1.0044380860743967,9.49160007853061
3-long,con,0.01,gauss,gauss,0.009745617178285898,0.9745617178285898,16.854999815113842
3-long,con,0.01,gauss,epsf,0.013279516113605176,1.3279516113605174,16.854999815113842
3-long,con,0.01,epsf,gauss,0.0061459358986371325,0.6145935898637133,16.854999815113842
3-long,con,0.01,epsf,epsf,0.010411198568168313,1.0411198568168312,16.854999815113842
3-long,con,0.02,gauss,gauss,0.020334738601378174,1.0167369300689086,16.854999815113842
