source_id,ra,dec,w3sky,w4sky,w3conf,w4conf,w3sigsk,w4sigsk,w3rchi2,w4rchi2,nb,na,ext_flg,w3snr,w4snr,dist_x,designation_aw,glat,ecl_lat,n1_flag,n1_ncat,n1_cat,n1_name,n1_sep_as,n1_r_as,n2_score,n2_flag_0.95,n2_flag_0.99,n2_flag_0.999,n2_flag,nebular_flag
2005822604241027328,333.8618389983781,54.88860195522622,1359.421,365.979,9.618,3.867,26.649,9.562,0.933,1.047,1,0,0,4.4,4.4,0.462467,J221526.78+545319.0,-1.4220983565477583,58.355822941321904,False,0,,,,,0.5036541558280688,False,False,False,False,False
2006101880195979520,333.5469174665523,55.6534965345912,1432.896,379.586,12.871,2.266,32.498,11.266,0.963,0.985,2,0,0,8.5,4.7,0.220819,J221411.27+553912.4,-0.6886193225357269,59.03521438595353,False,0,,,,,0.9135389570172179,False,False,False,False,False
2006178747239848064,333.6970811749955,55.989202431338256,1424.515,378.388,0.0,0.0,29.847,9.867,1.055,0.9935,2,0,0,9.4,4.7,0.195711,J221447.32+555921.1,-0.4586598120200046,59.218175440964266,True,1,HII_SH2,132,2080.2685886226586,2700.0,0.8809612287873158,False,False,False,False,True
2006246916957216128,335.0120756742496,56.57542173560404,1478.181,382.764,4.274,3.419,36.233,11.283,1.844,1.454,2,0,0,8.0,6.2,0.125636,J222002.90+563431.6,-0.3751456211404105,59.12620941994496,True,1,HII_SH2,132,1705.2964118246284,2700.0,0.9982658243527809,True,True,False,True,True
2006247668565315584,335.00782670929675,56.58349913680885,1453.781,379.826,4.915,2.429,31.632,10.842,1.39,1.181,2,0,0,10.5,4.7,0.141083,J222001.86+563500.5,-0.3671010103876621,59.13360101388314,True,1,HII_SH2,132,1729.3231900631688,2700.0,0.9679177505264461,True,False,False,False,True
2006641744710407040,337.1594619857887,55.316233308602335,1385.708,379.685,5.098,2.358,33.861,12.15,0.8446,0.7892,1,0,0,7.3,3.9,0.35332,J222838.23+551858.5,-2.0812915513814945,57.38524195561949,False,0,,,,,0.6750898055245881,False,False,False,False,False
2006707985976678912,336.9680724937722,55.63611386449292,1344.738,368.97,4.796,3.53,32.051,10.8,1.056,1.006,2,0,0,10.1,3.7,0.237332,J222752.31+553810.1,-1.751729359313552,57.69306099044056,False,0,,,,,0.4023287501548371,False,False,False,False,False
2007170399349654144,342.8956816651696,57.70229373129364,1485.682,390.824,0.0,0.0,36.014,11.577,0.701,0.994,1,0,0,5.3,5.6,0.590235,J225134.94+574207.6,-1.5209191512155151,56.93401569452397,True,1,CED,195,4021.675521514136,4500.0,0.9993806515545646,True,True,True,True,True
2007444319479312000,341.9917758052646,58.5252407204192,1532.978,400.877,13.362,4.647,31.46,12.004,1.117,0.9323,2,0,0,11.7,4.7,0.04115,J224758.02+583130.8,-0.5711198201075173,57.85462787920737,True,2,CED,195,3420.792608455576,4500.0,0.9998761303109129,True,True,True,True,True
2007922813194430336,337.5983980199014,57.778467329317536,1366.125,367.005,0.0,0.0,27.435,10.149,0.997,0.9736,2,1,0,6.4,3.6,0.264488,J223023.58+574642.3,-0.0982199528105781,58.98260917690455,True,1,CED,195,4627.494389887452,5400.0,0.5460175894958503,False,False,False,False,True
2008476520372191616,341.45179246770994,59.28601277984168,1662.995,409.04,9.96,1.391,31.086,11.085,1.236,0.9806,1,0,0,14.2,5.7,0.326334,J224548.42+591709.9,0.2326345143675287,58.584765325825465,False,0,,,,,1.0,True,True,True,True,True
2008508096972217216,341.77105399836506,59.61357668205787,1608.232,401.126,9.485,2.46,29.649,10.579,0.9962,0.9874,1,0,0,9.7,4.5,0.154489,J224705.06+593648.7,0.4482760851245096,58.69257418640955,False,0,,,,,1.0,True,True,True,True,True
2009595273449670656,349.73477579761726,57.52878028789405,1544.928,414.472,17.386,4.331,29.487,11.071,1.323,2.454,2,0,0,9.9,9.8,0.199723,J231856.32+573143.4,-3.1371421277340743,54.3017167469503,True,1,PGCC,PGCC G110.79-3.20,289.47651473903335,476.118,0.9998761303109129,True,True,True,True,True
2009598808203234176,350.0341854163097,57.71238593980344,1608.567,430.892,6.216,1.613,30.347,10.562,1.127,2.028,2,0,0,10.1,11.5,0.162995,J232008.19+574244.7,-3.0207868739928645,54.330158243123975,False,0,,,,,1.0,True,True,True,True,True
2009670723136043520,350.3025263200993,58.08514660850789,1645.143,422.906,3.944,1.915,33.611,10.557,0.9769,1.068,1,0,0,8.7,4.9,0.597135,J232112.54+580506.1,-2.7197632195782773,54.509601535076015,False,0,,,,,1.0,True,True,True,True,True
2009671788287992960,350.2612461212406,58.13240200115288,1647.798,422.083,5.694,2.398,30.545,11.198,1.767,1.196,2,0,0,20.4,10.3,0.093284,J232102.68+580756.6,-2.6678984205187346,54.5591725482368,False,0,,,,,1.0,True,True,True,True,True
2009686013220254720,349.94413346453507,58.25500915312159,1593.372,416.482,12.333,5.115,31.168,11.62,1.271,0.9572,2,0,0,11.9,3.6,0.017451,J231946.59+581518.0,-2.495205185747312,54.76258418496608,False,0,,,,,1.0,True,True,True,True,True
2009703502328201600,350.98460292085645,58.44883427087888,1632.516,423.99,25.098,5.434,31.655,10.769,1.386,1.065,2,0,0,16.6,10.0,0.656065,J232356.22+582655.9,-2.4981784954777564,54.53492447059827,True,1,DARK_LDN,1238,6151.007585243416,7599.614842160554,1.0,True,True,True,True,True
