band,donor,is_donor,lam_um,tail_frac,tail_slope,p000,p002,p004,p006,p008,p010,p012,p014,p016,p018,p020,p022,p024,p026,p028,p030,p032,p034,p036,p038,p040,p042,p044,p046,p048,p050,p052,p054,p056,p058,p060,p062,p064,p066,p068,p070,p072,p074,p076,p078,p080,p082,p084,p086,p088,p090,p092,p094,p096,p098,p100,p102,p104,p106,p108,p110,p112,p114,p116,p118,p120,p122,p124,p126,p128,p130,p132,p134,p136,p138,p140,p142,p144,p146,p148,p150,p152,p154,p156,p158
1-medium,star,True,5.962799839762738,0.017118949943694315,-7.357448141187942,0.7439334737151286,0.7439334737151286,0.6560371981792386,0.5400503603586828,0.4322358424785208,0.3461363461542626,0.2600368498300043,0.191893004474366,0.1285491846251905,0.0821222960423289,0.0743007121441323,0.0664791282459357,0.053808619816649174,0.040075966013885835,0.02816352528861683,0.019849180181650557,0.011534835074684282,0.005221049072290903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-medium,star,True,6.0839998367009684,0.0033241944536638785,-8.192216577756598,0.7667225082989727,0.7667225082989727,0.6775056222593417,0.5597761231554989,0.454906270813983,0.3842063370123647,0.3135064032107463,0.2276709425434927,0.13778935093196043,0.07147038015423443,0.058922518458784275,0.046374656763334125,0.03473595427356913,0.023296400943144724,0.015499861564634156,0.014904628835255557,0.014309396105876957,0.009735369271549877,0.004467791171222606,0.001284817427797855,0.0016944597037157375,0.0021041019796336205,0.0013121897649335757,0.0003607791665231865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-medium,star,True,6.205599833629094,,,0.8835616949980445,0.8591004558775867,0.7897054931986941,0.6862786813606547,0.5638323590157684,0.43793900306493627,0.32158174946248064,0.22324580215662054,0.14651744904704211,0.09090955582300568,0.05332659604650693,0.029572792022579834,0.01550439895830342,0.007684784278629761,0.0036009953968901,0.0015952457316578835,0.0006681081290765822,0.0002645331237522836,9.902104479753179e-05,3.504201636150525e-05,1.1723703097509158e-05,3.7081276360315126e-06,1.10881393955711e-06,3.1345616753432974e-07,8.377397086465715e-08,2.1166815437338686e-08,5.056104999573678e-09,1.1418019628793625e-09,2.437696455706637e-10,4.920198294992634e-11,9.38857599737241e-12,1.693678543553256e-12,2.888526691021715e-13,4.657318336997681e-14,7.099203122778707e-15,1.0230513213547439e-15,1.3937965285737462e-16,1.795210898220151e-17,2.185977629708325e-18,2.516460339548517e-19,2.7387261379181235e-20,2.8178720074498495e-21,2.7409938345622146e-22,2.5206293808703283e-23,2.1914121707122538e-24,1.801164107938704e-25,1.3995764899338057e-26,1.0281444434285683e-27,7.140453026971475e-29,4.688258395073437e-30,2.910123721682069e-31,1.707754765231797e-32,9.474443238523254e-34,4.96930931583426e-35,2.4640669410849658e-36,1.1551093878736588e-37,5.1192679829605474e-39,2.144898548239088e-40,8.49610332938264e-42,3.1816100929535456e-43,1.1263886492339048e-44,3.770020525896895e-46,1.1929254493822716e-47,3.568593108124689e-49,1.0092410360302595e-50,2.698403607130133e-52,6.820764522604575e-54,1.6299464773470539e-55,3.6823729414652646e-57,7.864956723262169e-59,1.588104380056648e-60,3.031627860064287e-62,5.471253974312945e-64,9.334950090999329e-66,1.505744429823881e-67,2.2961733380646075e-69,3.310337044687261e-71,4.5118421586136175e-73,5.813661233794933e-75,7.082061351897306e-77
1-medium,star,True,6.3267998305673245,,,0.8835616949980445,0.8591004558775867,0.7897054931986941,0.6862786813606547,0.5638323590157684,0.43793900306493627,0.32158174946248064,0.22324580215662054,0.14651744904704211,0.09090955582300568,0.05332659604650693,0.029572792022579834,0.01550439895830342,0.007684784278629761,0.0036009953968901,0.0015952457316578835,0.0006681081290765822,0.0002645331237522836,9.902104479753179e-05,3.504201636150525e-05,1.1723703097509158e-05,3.7081276360315126e-06,1.10881393955711e-06,3.1345616753432974e-07,8.377397086465715e-08,2.1166815437338686e-08,5.056104999573678e-09,1.1418019628793625e-09,2.437696455706637e-10,4.920198294992634e-11,9.38857599737241e-12,1.693678543553256e-12,2.888526691021715e-13,4.657318336997681e-14,7.099203122778707e-15,1.0230513213547439e-15,1.3937965285737462e-16,1.795210898220151e-17,2.185977629708325e-18,2.516460339548517e-19,2.7387261379181235e-20,2.8178720074498495e-21,2.7409938345622146e-22,2.5206293808703283e-23,2.1914121707122538e-24,1.801164107938704e-25,1.3995764899338057e-26,1.0281444434285683e-27,7.140453026971475e-29,4.688258395073437e-30,2.910123721682069e-31,1.707754765231797e-32,9.474443238523254e-34,4.96930931583426e-35,2.4640669410849658e-36,1.1551093878736588e-37,5.1192679829605474e-39,2.144898548239088e-40,8.49610332938264e-42,3.1816100929535456e-43,1.1263886492339048e-44,3.770020525896895e-46,1.1929254493822716e-47,3.568593108124689e-49,1.0092410360302595e-50,2.698403607130133e-52,6.820764522604575e-54,1.6299464773470539e-55,3.6823729414652646e-57,7.864956723262169e-59,1.588104380056648e-60,3.031627860064287e-62,5.471253974312945e-64,9.334950090999329e-66,1.505744429823881e-67,2.2961733380646075e-69,3.310337044687261e-71,4.5118421586136175e-73,5.813661233794933e-75,7.082061351897306e-77
1-medium,star,True,6.447999827505555,0.007599916679554824,-8.536659008554723,0.913903981648621,0.913903981648621,0.7938440608614638,0.6354144746681017,0.49241486284062363,0.39041489718535166,0.2884149315300795,0.20998422522847818,0.13785421202142234,0.08152101425489162,0.061236959416738596,0.04095290457858557,0.03186309313747032,0.02522535405951575,0.017888104241758084,0.009168100636017576,0.0004480970302770649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-medium,star,True,6.569599824433681,0.02298500213988918,-4.878136718045435,0.8225237193523285,0.8225237193523285,0.7175088511938263,0.578932530324875,0.4508979389286002,0.3508742287025797,0.25085051847655926,0.1819469112787053,0.12136253954382649,0.07603442207722995,0.06552185922286716,0.055009296368504365,0.044194761123088656,0.03331407954439473,0.023429177047079478,0.015512675059466284,0.007596173071853093,0.005789615816894746,0.005048094799738613,0.004397713138397684,0.0039044014306957196,0.003411089722993755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-short,star,True,4.952400094043696,0.03845155274035497,-5.053518871337981,0.5980510135304977,0.5980510135304977,0.5500571377824124,0.4867250130839079,0.4239116807910243,0.3624768540330758,0.30104202727512724,0.22973519231015535,0.15578930564627627,0.09612415276489411,0.06904836672049199,0.04197258067608986,0.032722425569516204,0.027376932477895473,0.02240871486187883,0.018186274348800494,0.01396383383572216,0.008444267677494054,0.002698597049010485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-short,star,True,5.057200091396226,0.006428861813127921,-5.419415375201522,0.6331579215612176,0.6331579215612176,0.5825908167577747,0.515863090831582,0.450016468064606,0.3865110622635492,0.32300565646249235,0.24559942386619818,0.16447712866127623,0.09945456112013405,0.07117239773479715,0.04289023434946026,0.032063460706239784,0.025060248625578166,0.01835289461392548,0.012230376320081154,0.0061078580262368285,0.0034014293879687974,0.001290465919021401,0.0003757872938693776,0.0015227910590881006,0.0026697948243068234,0.0013269513682462072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-short,star,True,5.162000088748755,0.0,-1.8474382144637673,0.5170945808000574,0.5170945808000574,0.4756485185510574,0.42095680754206766,0.36628164259725104,0.3116504429086656,0.25701924322008013,0.19230504654162967,0.12489539522232421,0.07251643309692486,0.0544382745165933,0.03636011593626172,0.031110978063695165,0.02867200663187714,0.02524499029027766,0.019864861917714846,0.01448473354515203,0.009305904441555594,0.004162164201356966,0.0019481895744865997,0.004783385472713869,0.007618581370941139,0.006451815667550222,0.0047538161232365365,0.004371029012390767,0.0059739547912906615,0.007576880570190557,0.005505923376930912,0.003089558382869956,0.002446375670081861,0.004156689439710451,0.00586700320933904,0.004087244426717589,0.002105580620412257,0.0016409574122500789,0.002950500327340053,0.004260043242430028,0.0034856613326693007,0.002661265227112158,0.0022157557881578712,0.002161161163952563,0.0020951699831191052,0.0005818161105106683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-short,star,True,5.267200086091179,0.01086773556450194,-7.787319777246461,0.5781007289342418,0.5781007289342418,0.5218408492008815,0.4476010079032513,0.3830431875702074,0.3442118800859209,0.3053805726016344,0.23955446177438164,0.1665119183702962,0.10675637486447426,0.07732244651109968,0.04788851815772512,0.041602203782927345,0.04038631913677023,0.03504060443224236,0.02153127217047004,0.008021939908697727,0.005544370018427056,0.004989767880986934,0.0021695967755249435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
