source_id,ra,dec,rmse,t_ds,gamma,M_G,snr3,snr4,gvar,ruwe,extra_ok,snr_ok,r_med_geo,w1mpro,w2mpro,w3mpro,w4mpro
1891798682888372608,331.1301228535123,25.466185419575837,0.0514828944707309,100.0,0.04041001900131407,10.644497340478326,2.9185483870967746,2.3100000000000005,1.059767436251192,0.98117256,True,False,147.63065,12.572,12.438,12.216,8.917
1884269708298184704,342.6079844027216,27.78093720421672,0.05311425187652243,140.67796610169492,0.04719290672293913,10.01065899588784,2.857105263157895,2.319871794871795,0.8840496273666875,0.9780569,True,False,254.04848,13.325,13.221,12.248,8.921
2851757855325003136,358.0536508081447,25.11915629374977,0.18559266546517614,700.0,0.01,11.47291166785957,21.714000000000002,2.530769230769231,1.37453761918874,1.138835,True,False,33.64178,10.133,9.922,9.757,8.716
2854333530032732928,359.6219316158852,27.0351017120132,0.16926488173831866,120.33898305084746,0.018601616690726987,13.162380777153462,5.965384615384616,2.064068441064639,1.187704963560251,2.4079173,False,False,46.20871,11.516,11.333,11.273,8.681
1892209213042221440,333.34596518678626,27.05825820806958,0.04805316319432207,130.50847457627117,0.01592806495985682,8.820656789103237,3.705460750853243,2.0369606003752345,0.8166743917720354,1.0511457,True,False,242.57623,12.504,12.421,12.049,9.153
1888299109177290368,339.4459550036593,29.68283743248065,0.13189265285734986,100.0,0.01,10.345980474091455,12.925,2.1757515030060124,1.2811649421748794,1.125702,True,False,84.63467,11.063,10.932,10.739,9.102
1799753651085155584,327.7519850245656,26.083785521184332,0.16273892465974032,700.0,0.01,8.669983940352116,25.85,2.2431818181818186,1.0274837951635007,1.0808977,True,False,80.56769,9.89,9.839,9.726,8.862
2865040574264077952,357.07916042960306,27.298182270163533,0.11012899468952757,100.0,0.01592806495985682,10.859896365891352,5.62538860103627,2.5727488151658773,0.9612057610995933,1.0346626,True,False,79.00168,11.471,11.34,11.426,8.744
2853332252896715776,359.2370854815456,25.58872537122439,0.16524864661565344,700.0,0.01,9.066533947330697,24.12666666666667,2.2571725571725576,1.633878902973194,0.98624134,True,False,71.62493,9.95,9.878,9.747,8.802
1851440421400051072,318.1879106775291,29.13226987890413,0.18037226023613231,100.0,0.01,7.399076332506818,10.340000000000002,2.2431818181818186,0.8204940156000162,0.9810263,True,False,189.84726,10.956,11.019,10.949,9.019
1895009188122474112,333.3737846531152,29.65476699788607,0.15180885834006333,100.0,0.04719290672293913,10.184821846085423,2.215714285714286,2.6161445783132535,0.7894773474748372,0.97088933,True,False,165.0771,12.617,12.474,12.707,8.771
1887449117969399424,340.17907970669575,28.91124000977574,0.09986589008870093,140.67796610169492,0.011678516340565069,10.31451778665365,6.239655172413794,2.2953488372093025,1.0887582451844,1.0596483,True,False,121.060104,11.859,11.708,11.469,8.972
2852394365182884096,356.03332709032986,25.464456486271427,0.08889951015974848,150.84745762711864,0.1907066257401213,11.561681397121099,4.846875000000001,4.191891891891892,0.9663393122278653,1.0099089,True,True,233.01631,14.192,13.973,11.729,8.291
1892831364825462272,331.341094585718,27.14242087711541,0.08101085032658374,100.0,0.01,7.543947450993982,7.592307692307694,2.3449244060475163,0.6339343653809363,1.0108541,True,False,227.48979,11.555,11.582,11.235,8.964
2844525370916967296,348.5957560253845,26.508075192876596,0.13781818439070379,100.0,0.029628775900825636,9.588206270992806,2.305095541401274,2.0878846153846156,0.7394423852399803,1.0635958,True,False,189.62201,12.578,12.418,12.433,9.124
2846018370268806016,347.93785628119434,28.367007580200788,0.18885698744123838,100.0,0.01,6.7283602926469595,6.424260355029586,2.365359477124183,1.2462301199199182,0.9903563,True,False,226.14008,11.145,11.21,11.294,8.899
2867197816077702400,357.95465869656306,29.32421118686312,0.19981928601205537,120.33898305084746,0.029628775900825636,9.337925329975825,3.3000000000000003,2.167065868263473,1.2689575696738438,1.5168513,False,False,195.81517,12.022,11.855,11.68,8.43
2865028204758142208,356.48845977102246,27.27465751649129,0.03455551487736104,100.0,0.018601616690726987,8.729782024977393,4.241015625,2.56061320754717,0.6989864377780245,0.9545256,True,False,196.55595,11.958,11.901,11.773,8.881
1885216353449870336,346.3678227849722,29.10296670344036,0.06388730986950567,161.01694915254237,0.05511431323226077,10.376842799313604,7.286577181208055,4.175769230769231,0.9674844107677226,0.975662,False,True,178.62648,12.797,12.65,11.291,8.259
2864436426985148160,354.9656088029575,25.47165301246205,0.09241437590677373,130.50847457627117,0.1907066257401213,11.726382675603706,2.0031365313653136,3.1653061224489796,1.011564981314238,1.0578369,True,False,237.80855,14.623,14.426,12.65,8.619
1844989311802691840,317.45453894281536,27.291631032006467,0.08149501741188649,100.0,0.01,7.37066562647298,6.871518987341773,2.167065868263473,0.6901506967945731,0.9826953,True,False,235.4874,11.39,11.446,11.415,9.007
1881580749532660608,336.9978670604403,27.41091722695566,0.034439780747500065,100.0,0.04041001900131407,8.965762051315922,2.0523629489603024,2.137204724409449,0.7793037948917615,0.91736585,True,False,280.2132,12.912,12.832,12.549,9.067
2843959740904224384,345.5446862450792,26.487372601100315,0.06455134317800802,100.0,0.01,7.328285074589061,7.190066225165564,2.2665970772442594,0.5582057225796205,0.9904995,True,False,217.64705,11.356,11.383,11.302,8.885
1851668776220369024,319.15764082660235,29.6780155206096,0.07841250930041968,100.0,0.01,8.187160181843915,7.645774647887325,2.360217391304348,3.876929362721478,1.4126496,False,False,195.45013,11.405,11.355,11.221,9.002
2846170274672231296,349.1443296666833,29.056308519018987,0.05893529631540038,100.0,0.013638774391684533,8.747407062223427,5.90054347826087,2.667567567567568,0.807825532631356,1.0705122,True,False,159.92258,11.4,11.361,11.369,8.79
1800329279782677376,324.92557527285703,26.34423509667176,0.15270890985576832,120.33898305084746,0.018601616690726987,10.186474077217937,4.006273062730627,2.370524017467249,1.261162430878749,1.0738071,False,False,154.80222,12.219,12.043,11.947,9.087
2844145970686428800,348.9320474932622,25.74221024641312,0.19335673134488074,100.0,0.01,11.57843491837129,14.87260273972603,2.167065868263473,1.174629161718625,1.1943684,True,False,44.126534,10.817,10.619,10.457,9.037
1800887591171711360,326.44355127459534,27.59068276519525,0.12292215674219276,100.0,0.013638774391684533,8.008464702355457,3.513592233009709,2.524883720930233,0.7569423936338553,1.6365393,False,False,235.75356,11.717,11.717,12.025,8.999
1796867226903738880,328.69241004532205,26.366953826926352,0.09940569512580398,150.84745762711864,0.029628775900825636,8.877969969485093,4.413414634146342,3.119827586206897,0.8389487921375682,1.0585579,True,False,274.8808,12.569,12.562,11.736,8.69
2855016395473086720,359.46497119600417,28.33132076706304,0.05617496275021555,181.35593220338984,0.01,8.87358676692187,7.487586206896553,2.490137614678899,0.6934770467360905,1.0461432,True,False,169.11598,11.76,11.682,10.908,8.753
1882797084270525056,342.59592351107926,25.60102381671438,0.1155433338313359,161.01694915254237,0.021723928448358305,8.586374830092296,4.9350000000000005,2.3966887417218543,0.8799394921593583,0.9799682,True,False,295.05463,12.499,12.489,11.67,8.832
2841466220331579392,352.5330340621851,26.26270666823029,0.06466117844367401,171.18644067796612,0.025370325336541884,9.982541537560989,4.274409448818898,2.412666666666667,1.2934808095783752,1.0608892,True,False,196.29846,12.736,12.56,11.623,9.029
1884308637882108544,343.35853510360573,28.218587313630305,0.047369499468019896,140.67796610169492,0.05511431323226077,9.771979882687013,3.23125,2.6940446650124072,0.7913419674288921,0.97713614,True,False,273.41858,13.3,13.168,12.139,8.684
