band,lam_um,f_star_jy,f_con_jy,e_con_jy,bkg_mjysr,resid_rms,sr_pix,scale_as
1-short,4.994000092992792,0.0003863529282825,-3.364610433499878e-06,1.194438785208112e-05,7.014597452787539,1.278184438268126,3.972248469705105e-13,0.1299999952316282
1-short,4.994800092972582,0.0003660509555914,2.6277143355289885e-05,1.111153112017991e-05,7.607496228625381,1.0516035859097004,3.972248469705105e-13,0.1299999952316282
1-short,4.9956000929523725,0.0003524518393201,3.451526458529544e-05,1.066821066336484e-05,5.89615253951197,1.0207428862072023,3.972248469705105e-13,0.1299999952316282
1-short,4.996400092932163,0.0003604480028237,-4.081847044962726e-06,1.0645724060805367e-05,6.638319051309363,1.152682991795123,3.972248469705105e-13,0.1299999952316282
1-short,4.997200092911953,0.000357483025953,-2.9779544706409803e-05,1.1503242439415055e-05,7.349927580917168,1.182458961656481,3.972248469705105e-13,0.1299999952316282
1-short,4.998000092891743,0.0003713435402858,1.2467768603670691e-06,1.2113089537958735e-05,5.969209886561777,1.194456199370013,3.972248469705105e-13,0.1299999952316282
1-short,4.998800092871534,0.0003557993216461,1.074140803984405e-05,1.2453220498517154e-05,6.271804371670911,1.045766665009802,3.972248469705105e-13,0.1299999952316282
1-short,4.999600092851324,0.0003073816076501,3.355719929558769e-05,1.1876667871619118e-05,5.76054020195794,1.0842416328359843,3.972248469705105e-13,0.1299999952316282
1-short,5.000400092831114,0.0003283708567543,4.558545037887461e-05,1.15516047970379e-05,6.049208848269349,1.0915955040023313,3.972248469705105e-13,0.1299999952316282
1-short,5.001200092810905,0.0003603110335518,3.154786510897304e-05,1.0893675409601247e-05,7.029660396523894,1.103038981508041,3.972248469705105e-13,0.1299999952316282
1-short,5.002000092790695,0.0003617907170705,1.684737949547801e-05,1.078625855417438e-05,7.718646118076068,1.1175469522463266,3.972248469705105e-13,0.1299999952316282
1-short,5.002800092770485,0.0003458160010444,3.201865185229448e-05,1.1142518571142068e-05,7.64495786453397,1.070584356162319,3.972248469705105e-13,0.1299999952316282
1-short,5.003600092750276,0.0003568521860119,4.377793104644125e-05,1.1540841245042092e-05,6.068639601595115,1.0861888810301643,3.972248469705105e-13,0.1299999952316282
1-short,5.004400092730066,0.0003401157289694,4.224122124506696e-05,1.1561479468228751e-05,6.917445740023236,1.072412099443933,3.972248469705105e-13,0.1299999952316282
1-short,5.005200092709856,0.0003741634969378,4.038673788973114e-05,1.1543754968562169e-05,5.126190265903788,1.049531498163483,3.972248469705105e-13,0.1299999952316282
1-short,5.006000092689646,0.0003553778925114,3.443048017666224e-05,1.1347034241177053e-05,5.543950813690119,1.0517826669028567,3.972248469705105e-13,0.1299999952316282
1-short,5.006800092669437,0.0003222355443582,4.033102673193154e-05,1.126895317106575e-05,4.978865167109728,1.013778071638295,3.972248469705105e-13,0.1299999952316282
1-short,5.007600092649227,0.000331184476315,3.470809001191679e-05,1.12937679448665e-05,4.553722786523983,1.0652534895427912,3.972248469705105e-13,0.1299999952316282
1-short,5.008400092629017,0.0003711712299994,2.921268703420304e-05,1.159077658548695e-05,4.076176826824563,0.9994413591338724,3.972248469705105e-13,0.1299999952316282
1-short,5.009200092608808,0.0003322153345393,6.679161707441068e-05,1.123590496767869e-05,3.173763093159802,1.0339103604088864,3.972248469705105e-13,0.1299999952316282
1-short,5.010000092588598,0.0003512421287706,8.830804457112858e-05,1.0825884570158613e-05,3.5981347114235698,1.0222791715775752,3.972248469705105e-13,0.1299999952316282
