source_id,nss_solution_type,route,ext_ref,sep_arcsec,period,a0_mas,inc_deg,nss_parallax,significance,phot_g_mean_mag,ext_a0_mas,ext_a0_err_mas,a0_err_mas,ratio,z
1655646778064790528,Orbital,ORB6-g9,Ren2013,1.793815321615038,881.5090597960923,5.895479256567882,157.61862213184358,10.023923713213602,193.0288,6.2837353,6.4,0.7,0.4835806383530389,0.9211686338387316,-0.5929999646951883
1714135092946125184,Orbital,ORB6-g9,Ren2013,1.0839474043507966,618.0854603010948,5.667525827820956,136.4033306691169,6.256863068082777,53.900177,4.3238397,3.4,0.2,0.3037062788612292,1.6669193611238107,6.235552228110544
1831860352703149568,Orbital,HIP-DMSA/O,HIP1997d(DMSA/O),0.37332142598288653,804.411772899437,12.708780454038507,23.957140377211452,20.867314866627915,520.70526,8.112418,14.95,1.45,0.09549854149161403,0.8500856490995657,-1.5423272113260234
1966070246674941824,OrbitalTargetedSearch,HIP-DMSA/O,HIP1997d(DMSA/O),0.3088710835991549,596.658021532149,6.999990180844485,100.95248944537218,15.23887091876812,47.34908,4.9795933,8.56,0.91,0.21456184224664124,0.8177558622481874,-1.6685438860443527
2030314161368193920,AstroSpectroSB1,ORB6-g9,Ren2013,0.0926541336543165,295.0188662174796,1.7395653435554677,108.65264459533898,2.9663276548377198,114.796906,7.482188,2.4,0.7,0.024000435425485495,0.7248188931481115,-0.9429240149101182
2073826131417096064,AstroSpectroSB1,HIP-DMSA/O,HIP1997d(DMSA/O),1.5390806485073554,517.0580939873487,9.991452219029076,162.56791776733257,19.91741832726658,354.83316,7.5808997,10.36,1.17,0.044753319666846945,0.9644258898676715,-0.3147679165583818
2162250505790084480,OrbitalTargetedSearchValidated,ORB6-g9,Pbx2000a,0.5613381597179518,584.3112875632293,1.154457275271864,75.70330255689107,2.7875116015850665,63.23532,7.146882,1.42,0.8,0.025643142385340593,0.812998081177369,-0.33175801656556664
2267826643066975744,AstroSpectroSB1,HIP-DMSA/O,HIP1997d(DMSA/O),1.6718221886193099,298.38657083680624,4.075896339301648,43.00232977326343,9.844068125407023,166.03677,7.1409235,4.43,0.77,0.2643702202449874,0.9200668937475505,-0.43495258299376627
2891763860781890176,Orbital,ORB6-g9,Ren2013,0.23834659870621389,636.3736327941347,1.398517968097692,60.61250266344721,2.2719430528475093,69.873795,6.722893,1.8,0.6,0.716529893188246,0.77695442672094,-0.4295915878250356
3001776836731440000,Orbital,ORB6-g9,Pbx2000a,0.3511540718342291,464.8098970017824,2.872702187366544,75.10091870504745,7.218165561942454,52.266163,6.012154,4.72,1.0,1.0604086593624955,0.6086233447810475,-1.2673949427306657
