source_id,nss_solution_type,l,b,nss_parallax,phot_g_mean_mag,bp_rp,m1_used,m1_source,class_det,a_tr_margin,m2_min_dark,flag_low_lat,cuts_eb26,d_pc,dust_tier,E_zgr23_eden,ebv_sfd_raw,a_g_lower,a_g_upper,a_v_mag,m1_dust,m1_source_dust,class_det_dust,margin_dust,m1_dust_upper,m1_source_dust_upper,class_det_dust_upper,margin_dust_upper,sfd_lowb_unreliable
419176820845960192,Orbital,117.88068661146828,-9.663875007500422,0.5118065482522388,13.82751,1.3801355,,evolved_bracket,1,0.41780785354250843,0.6133031136671246,True,True,1953.863238785995,edenhofer_floor,0.1614737750943117,0.35308003251453696,0.36705980173437963,0.7919079546783567,0.4487482093309213,,evolved_bracket,1,0.41780785354250843,,evolved_bracket,1,0.41780785354250843,False
419274643019339904,Orbital,118.10722602718025,-9.553462483262496,0.7088473430182478,14.238057,0.87878036,1.2680100637611864,photometric_ms,2,0.5545487380912852,0.606783742858157,True,True,1410.740986545896,edenhofer_floor,0.1714773478789417,0.4154252098902614,0.3897997757073488,0.9317392601986896,0.47654891796854565,1.3796751146763597,photometric_ms,2,0.551375388497026,1.5792298536077694,photometric_ms,1,0.54916673867898,False
419389541986763520,Orbital,117.77373965065716,-8.493383292553068,0.8565485748914297,13.477564,0.92324543,1.366908989012426,photometric_ms,2,0.6154120928429112,0.7293284823647812,True,True,1167.4761120544194,edenhofer,0.1555314801680772,0.27295296334526,0.3535518646331575,0.3535518646331575,0.4322341084751849,1.4803104882900942,photometric_ms,2,0.6150325916967476,1.4803104882900942,photometric_ms,2,0.6150325916967476,False
419526431185849984,Orbital,118.6430812991422,-8.707686087390243,0.9124451777787084,13.519696,0.98237705,,evolved_bracket,1,0.5045555000576812,0.7699494653768689,True,True,1095.9562550754429,edenhofer,0.1884137279183711,0.4028264300005686,0.4282993047840679,0.4282993047840679,0.523616438442399,1.4595106023887041,photometric_ms,1,0.5408494815343902,1.4595106023887041,photometric_ms,1,0.5408494815343902,False
419713932272855936,AstroSpectroSB1,118.16238712269922,-8.286461155330109,0.5645357295333936,12.432442,1.361742,,evolved_bracket,2,0.6503914328594039,1.060810532834096,True,True,1771.3670679914826,edenhofer_floor,0.16637619128092457,0.3051677243438639,0.37820390183624764,0.6844475081129037,0.46237240610127933,,evolved_bracket,2,0.6503914328594039,,evolved_bracket,2,0.6503914328594039,False
419873808136107520,Orbital,118.46262644657332,-7.631743811666863,1.135507845358964,13.2349825,0.941823,1.2627473863823626,photometric_ms,2,0.5747084001422357,0.633357076125496,True,True,880.6632240254347,edenhofer,0.1417530957348982,0.3605459722418777,0.3222310445476122,0.3222310445476122,0.3939429039854725,1.3520528123217068,photometric_ms,2,0.5716499026372016,1.3520528123217068,photometric_ms,2,0.5716499026372016,False
419997846792037632,Orbital,117.25432456375177,-9.13502980191889,0.5507845486495112,13.9842005,1.2927799,,evolved_bracket,2,0.568594106834687,0.8932293254569915,True,True,1815.5919632312427,edenhofer_floor,0.16018372585541646,0.28861370129775354,0.3641272808493015,0.6473192048248839,0.4451630619250045,,evolved_bracket,2,0.568594106834687,,evolved_bracket,2,0.568594106834687,False
420126008615794560,Orbital,117.059694581568,-8.396050696508617,0.9001374626952894,14.166667,0.9829092,1.170515308078727,photometric_ms,1,0.4867046653976735,0.481273541643607,True,True,1110.94142999636,edenhofer,0.19667094946854238,0.3282016341051111,0.4470694989119532,0.4470694989119532,0.5465639008555607,1.2679258708148617,photometric_ms,1,0.4785930470259754,1.2679258708148617,photometric_ms,1,0.4785930470259754,False
420229568869313920,AstroSpectroSB1,116.67998321459174,-7.646800220345741,1.7358422090844343,8.465787,1.2202067,,evolved_bracket,2,0.620937706281447,0.999115038277572,True,True,576.0892290592747,edenhofer,0.12454109536386454,0.33145526307389195,0.28310497940202656,0.28310497940202656,0.3461094131229888,,evolved_bracket,2,0.620937706281447,,evolved_bracket,2,0.620937706281447,False
420285025485399552,Orbital,116.24899398201757,-8.062988582064317,0.8538985753814174,14.050668,0.95802975,1.2039774480367889,photometric_ms,2,0.563200366389753,0.5987058562353401,True,True,1171.0992720105223,edenhofer,0.18993365113373656,0.37108868515312743,0.43175437179886755,0.43175437179886755,0.5278404235496857,1.325621950720618,photometric_ms,2,0.5594774086266936,1.325621950720618,photometric_ms,2,0.5594774086266936,False
