source_id,element,gaia,gaia_err,ref,ref_err,z,nss_solution_type,phot_g_mean_mag,significance
1436561046051723648,a_thiele_innes,-1.3383633553369738,0.043016225,-1.4017539747053838,0.043058284,1.0415146595340685,OrbitalTargetedSearchValidated,7.5826483,77.131935
1484569984328261632,a_thiele_innes,-3.158742130407201,0.019141257,-3.157871661822792,0.019650392,-0.03173163537566634,OrbitalTargetedSearchValidated,7.8589067,171.52774
1527631807474248448,a_thiele_innes,-3.986219841351439,0.018426681,-3.996146697947992,0.017843932,0.3870043115993969,OrbitalTargetedSearchValidated,8.304795,785.8862
1529439851267809024,a_thiele_innes,-3.809143105555024,0.03515672,-3.873846800054794,0.03114954,1.3775199540709737,OrbitalTargetedSearchValidated,8.54378,133.61244
1568219729458240128,a_thiele_innes,-8.443036070024641,0.036128424,-8.316524731516111,0.030983595,-2.658102643297955,OrbitalTargetedSearchValidated,6.7498126,270.71344
1615450866336763904,a_thiele_innes,1.6121216272947214,0.38238767,2.0369648536591485,0.75292313,-0.5030942433625664,OrbitalTargetedSearchValidated,7.1135936,196.52153
1648950576156773760,a_thiele_innes,-2.0908630761474947,0.0593409,-2.1015973200855558,0.043265153,0.14616640258095073,OrbitalTargetedSearchValidated,9.289313,140.51233
1695571110421334144,a_thiele_innes,2.481851781953033,0.053970534,2.495337920671486,0.054431465,-0.1759387100331141,OrbitalTargetedSearchValidated,6.4840364,168.49486
1813985523437968256,a_thiele_innes,1.4982343087229275,0.08396294,1.4807423281332477,0.10949213,0.12677244980967908,OrbitalTargetedSearchValidated,9.600535,165.75067
1886061603013491456,a_thiele_innes,4.44179445286724,0.13209647,4.038422507970751,0.05125917,2.8467969841106977,OrbitalTargetedSearch,8.599754,69.752174
1918953867019478144,a_thiele_innes,-0.1361561729840665,0.016917208,-0.1354108936890697,0.015991876,-0.03201449445488278,OrbitalTargetedSearchValidated,7.0877295,44.10601
2133476355197071616,a_thiele_innes,-0.0802183293990363,0.07775018,-0.027380325246825,0.09634565,-0.4267855267178599,OrbitalTargetedSearchValidated,11.738809,44.819427
2161507648230817792,a_thiele_innes,0.0969202549967767,0.038935043,0.2620281460255047,0.093377404,-1.631992003942864,OrbitalTargetedSearchValidated,7.3742137,43.071552
2162250505790084480,a_thiele_innes,0.8248018086072054,0.02565051,0.7099005611569145,0.09666061,1.1489422654277803,OrbitalTargetedSearchValidated,7.146882,65.12676
