rank,source_id,nss_solution_type,p_class3_corr,period,significance,sigma_ti2,phot_g_mean_mag,flag_alias_1yr,flag_low_lat,m2_min,queue_bin,flag_hi_sigma_ti2,flag_xray_active,xray_tested,flag_dust_unresolved_south,eb26_verdict
90,6641307109468149504,Orbital,1.0,1156.11935883045,12.077183,0.6577088929318774,15.271075,False,False,1.2473201849954365,v2_main,False,False,True,False,
91,4564060367330378880,Orbital,1.0,1137.8488318673444,9.887682,0.3974237795312858,16.022493,False,False,1.1969138929069525,retrieval_pr999,False,False,False,False,
92,1525829295599805184,Orbital,1.0,328.2036917776257,61.311047,0.0147186903462666,16.176252,False,False,1.1937174141789617,v2_main,False,False,True,False,
93,5331513195692864768,Orbital,1.0,870.4420523773397,71.95023,0.2346318217309062,15.248823,False,True,1.192513248673725,v2_main,False,False,True,False,
94,2469926638416055168,Orbital,1.0,582.1272644608122,18.151522,0.1521358386869336,15.449045,False,False,1.1706377691589114,v2_main,False,False,True,False,
95,3283086886693270400,Orbital,1.0,1422.755294470567,16.785894,0.1337115489011908,15.072642,False,False,1.1671485465096283,v2_main,False,False,True,False,
96,5362481146844816640,Orbital,1.0,980.9450346928792,11.52012,0.6809146207577569,16.841864,False,False,1.166805141939444,v2_main,False,False,True,False,
97,2919995917769953408,Orbital,1.0,456.77405102814447,23.193085,0.0621731827318794,14.970135,False,False,1.1619864443286232,v2_main,False,False,True,False,CONFIRMED
98,5538711420304269312,Orbital,1.0,1395.9276538335473,8.607637,0.3067651313935264,14.832076,False,True,1.121044634573214,retrieval_pr999,False,False,False,False,
99,420307599833339904,Orbital,1.0,1307.9217374796772,11.4022665,0.0495843316048393,15.752069,False,True,1.1115842147341612,v2_main,False,False,True,False,
100,5333771489506466432,Orbital,1.0,636.7617429803634,42.93077,17.19283305454144,15.847199,False,True,1.110469119742554,v2_main,False,False,True,False,
101,5378176881487146112,Orbital,1.0,1351.1665754500386,19.03308,0.1835605783252379,14.438003,False,False,1.1017984545369133,v2_main,False,False,True,False,
102,2072487098074673152,Orbital,1.0,1348.3303061840618,17.501717,0.1382941769112269,15.223681,False,True,1.0763885027600186,v2_main,False,False,True,False,
103,220012968211559296,Orbital,1.0,196.34059445516763,25.26768,0.1569429785665125,13.930196,False,False,1.0612683256294737,v2_main,False,False,True,False,CONFIRMED
104,4618063808640529920,Orbital,1.0,160.91823642220157,42.44588,19.268884748841742,15.106968,False,False,1.0513622726418934,v2_main,False,False,True,False,
105,2501696992540416640,Orbital,1.0,1222.5141501724167,6.3740506,0.5963476190014768,15.751295,False,False,1.037273668403769,retrieval_pr999,False,False,False,False,
106,5336190896173400064,Orbital,1.0,1115.491644596162,28.01314,1.9678209152315784,16.184147,False,True,1.008075820517413,v2_main,False,False,True,False,
107,1820819950320873472,Orbital,1.0,285.38339981510705,46.415028,6.413506406370485,15.675663,False,True,0.9848597562308656,v2_main,False,False,True,False,
108,4526711950202650240,Orbital,1.0,549.37112538301,19.356531,0.0272104252478742,14.614069,False,False,0.9514825141894412,v2_main,False,False,True,False,
109,1449731030688880512,Orbital,1.0,465.3880099118856,74.29005,0.1236516068987457,14.532008,False,False,0.9499070333578588,v2_main,False,False,True,False,
110,4578792375736250240,Orbital,1.0,1123.3634498354963,7.851672,34.0165813907315,18.220612,False,False,0.944505808736024,retrieval_pr999,True,False,False,False,
111,4847718871053268480,Orbital,1.0,565.0247439878617,49.65079,0.224009882848416,15.2487545,False,False,0.9397675945138124,v2_main,False,False,True,False,
112,1109902566711892352,Orbital,1.0,661.0143780364061,34.532642,3.9971518703487705,16.363384,False,False,0.9249900652897024,v2_main,False,False,True,False,
113,988173469736683136,Orbital,1.0,892.819143563354,22.012861,1.0484071686630507,16.164341,False,False,0.9239922832627124,v2_main,False,False,True,False,
114,41408333753757056,Orbital,1.0,875.9230941755561,36.238445,0.0133251534738386,14.868423,False,False,0.9012580001161888,v2_main,False,False,True,False,
115,347695336533949440,Orbital,1.0,836.6169219627163,11.242594,0.1132317681780782,15.900197,False,False,0.8777049502322971,v2_main,False,False,True,False,
116,3353857674171392896,Orbital,1.0,591.993915902124,20.587116,0.0555457082533822,16.368265,False,True,0.8438990702703416,v2_main,False,False,True,False,
117,2909342818326298112,Orbital,1.0,935.1361647547592,20.594727,35.250547821333974,18.365479,False,False,0.8402263792842213,v2_main,True,False,True,False,
118,3619399009406031360,Orbital,1.0,300.1781565050023,124.078545,17.029295212010304,13.900277,False,False,0.8341136033628874,v2_main,False,False,True,False,
119,6148133675775194496,Orbital,1.0,599.5883940729731,91.472916,1.7976141511845871,15.496806,False,False,0.810273861163356,v2_main,False,False,True,False,
120,921014818475268480,Orbital,1.0,885.3062745233595,32.72981,7.577291828499263,16.04445,False,False,0.8044353661956187,v2_main,False,False,True,False,
121,6808640031752341120,Orbital,1.0,564.418580440127,96.25272,0.0440228199139378,14.680473,False,False,0.7743221550216907,v2_main,False,False,True,False,
122,6345215740573418240,Orbital,1.0,459.2676260756612,319.69852,0.2904331657869475,14.202115,False,False,0.7687049698896533,v2_main,False,False,True,False,
123,513410735478322944,Orbital,1.0,964.7960888606726,7.865634,0.6812492110996956,16.790562,False,True,0.7589343554852696,retrieval_pr999,False,False,False,False,
124,5345291278987917952,Orbital,1.0,225.5622634460998,40.268616,10.572261676980212,15.553418,False,True,0.7503273358837232,v2_main,False,False,True,False,
125,1258132677052807424,Orbital,1.0,620.0065279783782,33.530663,0.1263791437822922,16.778133,False,False,0.7455291733763529,v2_main,False,False,True,False,
126,4429564978284010624,Orbital,1.0,521.7854683479596,95.29243,0.226900049499064,14.653309,False,False,0.7449930002238909,v2_main,False,False,True,False,
127,6476764747694402560,Orbital,1.0,847.2070147336176,23.199223,15.65341424909502,16.441336,False,False,0.724947207731479,v2_main,False,False,True,False,
128,6370793232894189312,Orbital,1.0,448.32778262664544,50.233845,2.2945578248043628,15.569878,False,False,0.7092268531919247,v2_main,False,False,True,False,
129,6565536670821170048,Orbital,1.0,812.5246161119455,144.19408,1.104332790144728,15.176595,False,False,0.7053107969542441,v2_main,False,False,True,False,
130,780762798862741248,Orbital,1.0,147.33463073970532,128.95952,5.895548232617418,14.424219,False,False,0.7046403886798818,v2_main,False,False,True,False,
131,4741144892600308736,Orbital,1.0,997.0107243195775,14.652579,4.04200887499152,16.76405,False,False,0.7001872957777417,v2_main,False,False,True,False,
132,778976951460413184,Orbital,1.0,906.1444518117992,22.147709,0.1727537149059278,17.302723,False,False,0.6897866642642498,v2_main,False,False,True,False,
133,6242043204425227648,Orbital,1.0,1448.4514933342473,6.796583,0.3275051632601795,16.903599,False,False,0.6851185596097596,retrieval_pr999,False,False,False,False,
134,5374440122503156864,Orbital,1.0,830.9256521182263,49.18092,5.640256738855725,16.338886,False,False,0.6805377212593067,v2_main,False,False,True,False,
135,3737275314557968512,Orbital,1.0,836.406957173699,11.913061,3.3112429246431883,16.917494,False,False,0.6797706427074579,v2_main,False,False,True,False,
136,1569917409771276928,Orbital,1.0,916.5244907718496,31.900192,0.986757019837734,16.720207,False,False,0.6755198386450083,v2_main,False,False,True,False,
137,5270266446649786112,Orbital,1.0,835.6747562991526,9.22595,9.63849339839978,16.881666,False,False,0.6747681206762095,retrieval_pr999,False,False,False,False,
138,4111830204091975808,Orbital,1.0,776.3841717740495,71.41409,3.1861058687310453,16.051708,False,True,0.6687827854317937,v2_main,False,False,True,False,
139,4690033098152050944,Orbital,1.0,846.0507583743195,45.057842,25.038306762300788,16.668621,False,False,0.6640612784913237,v2_main,True,False,True,False,
140,2089665008721347072,Orbital,1.0,613.956931954358,62.83355,20.88928310152121,16.061644,False,False,0.6626151077005652,v2_main,True,False,True,False,
141,339403953708089728,Orbital,1.0,531.3266696335046,37.144844,1.6776710277600366,16.766289,False,False,0.6600150753625592,v2_main,False,False,True,False,
142,1529570212114865920,Orbital,1.0,1125.1183182237785,16.178015,14.085258822129957,15.712063,False,False,0.6595747035615974,v2_main,False,False,True,False,
143,2977891458442799744,Orbital,1.0,843.1170299622223,20.878937,26.797983363912905,16.496376,False,False,0.6491164636222374,v2_main,True,False,True,False,
144,5307050642533911168,Orbital,1.0,1089.0586548677595,5.0004725,2.7196739191956056,17.640902,False,True,0.6483166149824386,retrieval_pr999,False,False,False,False,
145,2764969554255024384,Orbital,1.0,848.189804484581,34.515266,0.4172899115719274,17.063015,False,False,0.648197133402574,v2_main,False,False,True,False,
146,3418769439060150272,Orbital,1.0,603.781872820821,162.83235,18.960380606311503,14.261869,False,False,0.6463498577290612,v2_main,False,False,True,False,
