IAUNAME,RA,DEC,R,z_var,ML_RATE_1,ML_RATE_ERR_1,ML_FLUX_1,ML_FLUX_1_D1,ML_EXP_1,ML_EXP_1_D1,ul_exposure_s,ul_b_flux,ul_s_flux,ul_flag_pos,ul_presence,ul_fade_frac
3eRASS J135824.9-013938,209.6039994465891,-1.6606426031340693,0.9593450475352405,0.5681221152152829,1.7340989,0.06557495,1.6146173e-12,1.7184821e-12,429.3638,151.64166,429.4118957519531,1.8581759395064346e-12,2.2658769663081585e-13,1,8.200692125548194,1.0812890689076478
3eRASS J151250.5-090558,228.2105490455998,-9.099710671370756,0.9975701561506009,0.04097803210531674,3.166104,0.097129986,2.9479555e-12,3.0173641e-12,360.67996,128.54814,360.70989990234375,3.28356460944923e-12,3.395741804065877e-13,1,9.66965334501483,1.088222853157885
3eRASS J093202.8-575130,143.0116721397883,-57.8585775896142,0.9509267979827536,0.5444953015674578,0.6593682,0.03206713,6.139369e-13,6.5921476e-13,693.48047,255.00093,693.352294921875,7.635359900760863e-13,1.34377196327716e-13,1,5.682035426710291,1.1582507467291692
3eRASS J042408.3-523454,66.0347617576531,-52.58173494559514,0.9689272762253652,0.5209203728227206,0.75734454,0.024251133,7.0516255e-13,7.4310176e-13,1385.3406,528.3059,1385.3004150390625,8.087537258817667e-13,9.441189827543231e-14,1,8.566226722000135,1.0883485528831451
3eRASS J205638.9-852722,314.16216976924164,-85.45625092862615,0.9614580434345521,0.5257945654846498,1.4479711,0.05399079,1.348204e-12,1.4317775e-12,532.37756,170.63454,532.3036499023438,1.544224383781545e-12,1.7786564322080922e-13,1,8.681971154285742,1.078536526744237
3eRASS J130216.1-175040,195.56712505323384,-17.84457275429118,0.9564297912750795,0.47754761608701063,1.1987922,0.058784496,1.1161939e-12,1.1916173e-12,375.74088,136.36479,375.7070007324219,1.272106877302226e-12,1.726985254021235e-13,1,7.366055236083586,1.0675464687059004
3eRASS J035037.3-275833,57.65552596304526,-27.975988833521722,0.9782445013399607,0.2455020110696873,0.80656666,0.038780186,7.509932e-13,7.838606e-13,583.2743,230.5351,583.2792358398438,9.124810282368223e-13,1.5851323075313783e-13,1,5.756497573744388,1.164085834288403
3eRASS J035843.0-570608,59.67957111969095,-57.10225734073069,1.0103946463842803,0.17476189383734161,0.9373262,0.029212238,8.7274323e-13,8.8195353e-13,1179.2977,453.77216,1179.2945556640625,9.84922321652093e-13,9.812417940896836e-14,1,10.037508874821459,1.1167508166212035
3eRASS J170629.0-374927,256.62103450305494,-37.824394645725874,1.0032969014890474,0.043958687691983495,2.163488,0.08128187,2.0144207e-12,2.0500808e-12,353.59808,116.10266,353.6726989746094,2.4133334219911262e-12,3.4246214262838304e-13,1,7.047007892518835,1.1771894123845277
3eRASS J053714.7-570058,84.31137957441925,-57.01619660021276,1.004437890832694,0.05867783512341411,0.36244476,0.014002824,3.3747186e-13,3.4305577e-13,2024.8889,711.79816,2024.8896484375,3.9429839059600125e-13,5.0058359692649324e-14,1,7.8767740896212555,1.1493711069484798
3eRASS J144621.3-674616,221.58903828704473,-67.77119499631281,1.0285852602549013,0.6036749557218288,3.2318816,0.07581459,3.0092007e-12,2.9871782e-12,601.89465,200.19595,601.9075317382812,3.366903544160804e-12,2.879681627702968e-13,1,11.691929801442939,1.1271184053807481
3eRASS J071524.6-665738,108.85287412498299,-66.96060946335122,1.0301385468259385,0.34423490752341934,0.21744786,0.009749483,2.0246543e-13,2.0068065e-13,2547.196,931.3129,2547.085693359375,2.37369287637082e-13,3.238813771756603e-14,1,7.328895835475665,1.1828210317148917
3eRASS J070402.3-694112,106.00969801105077,-69.68672129927745,1.0285086005694,0.46439055936602713,0.30013174,0.009469454,2.7945227e-13,2.774278e-13,3685.2224,1358.2444,3685.288818359375,3.1634691068961607e-13,3.4801263433525964e-14,1,9.090098446967927,1.1402855750194987
3eRASS J160843.6-252238,242.1819003570179,-25.377363700386137,1.0096427309239526,0.10337175415714098,1.2619706,0.058788978,1.1750193e-12,1.1883039e-12,401.2667,133.43326,401.2785949707031,1.3700026356422423e-12,1.984826691024677e-13,1,6.9023791439189655,1.152905945154678
