IAUNAME,DETUID,RA,DEC,DET_LIKE_0,ML_RATE_1,ML_EXP_1
3eRASS J235640.5-380317,sm03_358129_020_ML00012_001_c030,359.16916147923854,-38.05492794448647,310.47052,0.36659265,285.6772
3eRASS J083751.1+383010,sm03_131051_020_ML00013_001_c030,129.46300856060262,38.50297856607375,274.74002,0.36286527,240.11464
3eRASS J111108.9+311009,sm03_166060_020_ML00006_001_c030,167.78719995579834,31.16917466411126,252.8238,0.3603085,246.637
3eRASS J095308.2+145837,sm03_149075_020_ML00010_001_c030,148.28424618792008,14.976958184116873,256.27856,0.35429627,212.02583
3eRASS J054231.2+091849,sm03_086081_020_ML00020_001_c030,85.63001770291201,9.313846634748957,419.7611,0.35367918,328.19543
3eRASS J044533.5-031513,sm03_071093_020_ML00015_001_c030,71.38978153620347,-3.253625833630952,367.79358,0.35118985,417.41776
3eRASS J003116.7-492044,sm03_007138_020_ML00006_001_c030,7.819926037435367,-49.34571764536424,377.89743,0.35068795,322.71506
3eRASS J092943.1+351656,sm03_144054_020_ML00018_001_c030,142.42961800122347,35.282296756072995,255.68213,0.3470828,246.7342
3eRASS J223116.4-462855,sm03_337135_020_ML00017_001_c030,337.8187260571867,-46.48210933436512,238.30426,0.34522277,262.8143
3eRASS J190721.9-542003,sm03_288144_020_ML00024_001_c030,286.84133508823885,-54.33423018287609,241.95575,0.34518644,281.99765
3eRASS J034855.1-552531,sm03_057144_020_ML00018_001_c030,57.229927944325,-55.4253423865721,991.4674,0.3451473,1035.0931
3eRASS J073530.8-220541,sm03_113111_020_ML00006_001_c030,113.8784999474145,-22.094753942355446,362.43,0.34228137,321.33173
3eRASS J074426.2+291605,sm03_115060_020_ML00023_001_c030,116.10950025622103,29.2680577118847,238.17094,0.34181222,233.74063
3eRASS J185642.2-372021,sb03_285126_020_ML00023_001_c030,284.175970102058,-37.33922589765468,201.66858,0.33725843,252.50545
3eRASS J124655.7+115645,sm03_191078_020_ML00019_001_c030,191.7324229110389,11.946092053450396,261.86154,0.33488628,313.12943
3eRASS J040340.4-253603,sm03_062117_020_ML00012_001_c030,60.91860728412958,-25.601102847028777,580.5333,0.33487576,517.6267
3eRASS J114934.7-212330,sm03_177111_020_ML00015_001_c030,177.39473965681074,-21.391831782772353,316.65433,0.33387166,319.45496
3eRASS J093355.2+385203,sm03_142051_020_ML00006_001_c030,143.48033205406557,38.867506501920474,145.67342,0.3297856,256.5041
3eRASS J120041.8+331237,sb03_182057_020_ML00019_001_c030,180.17445877693828,33.210449140147965,209.91177,0.32380074,220.0274
3eRASS J155918.4-264814,sm03_238117_020_ML00021_001_c030,239.82705536878993,-26.80390397911375,314.17938,0.32283527,422.00012
3eRASS J082055.6+192538,sm03_127072_020_ML00014_001_c030,125.23197917951713,19.42728573322305,245.94136,0.32220456,239.105
3eRASS J015402.7-404043,sm03_030132_020_ML00014_001_c030,28.511656869030173,-40.67887500814105,393.85068,0.3209225,437.48563
3eRASS J064229.4+013002,sm03_101087_020_ML00015_001_c030,100.62278489694692,1.5007509816534794,278.98666,0.3207529,261.6559
3eRASS J135303.4-653052,sm03_211156_020_ML00015_001_c030,208.26432559386996,-65.5145682652074,450.2732,0.32002658,549.58563
3eRASS J110542.7+020250,sm03_167087_020_ML00002_001_c030,166.42823514774685,2.047389790523389,113.35044,0.31891856,203.7036
3eRASS J030334.2-544438,sm03_047144_020_ML00011_001_c030,45.892914296538144,-54.74404528418219,758.461,0.31860894,765.8297
3eRASS J124608.1-451706,sm03_192135_020_ML00015_001_c030,191.53404229505236,-45.2850379181954,497.08505,0.31780648,508.35733
3eRASS J185006.2-380732,sm03_282129_020_ML00025_001_c030,282.52621654198083,-38.12579227591003,168.38736,0.3160932,250.74847
3eRASS J215606.7-752746,sm03_334165_020_ML00002_001_c030,329.02812180895677,-75.4628540383648,256.12656,0.315995,437.28293
3eRASS J110727.2+055040,sm03_167084_020_ML00008_001_c030,166.86338320156563,5.844466246918093,167.38853,0.31435215,186.64378
3eRASS J095727.8-262219,sm03_148117_020_ML00014_001_c030,149.36599864175514,-26.372062486314675,273.44977,0.31098044,283.70847
3eRASS J155119.8-521040,sm03_238141_020_ML00010_001_c030,237.8328237292154,-52.17787632569,420.05728,0.31041613,421.23557
3eRASS J051738.5-065022,sm03_080096_020_ML00007_001_c030,79.41045735038247,-6.8396342795684335,215.13571,0.31000707,403.0388
3eRASS J065247.8+180149,sm03_102072_020_ML00007_001_c030,103.19940583457455,18.03052891218927,100.3254,0.3085068,231.62009
3eRASS J075326.2+292159,sm03_118060_020_ML00012_001_c030,118.35939063832465,29.366429252576328,101.2069,0.307782,233.35487
3eRASS J083839.1+065352,sm03_131084_020_ML00012_001_c030,129.6629543662563,6.897919390371564,213.54893,0.3073487,225.37517
3eRASS J062647.0-473944,sm03_098138_020_ML00010_001_c030,96.69621067493244,-47.66235589396706,354.2395,0.306259,723.034
3eRASS J082923.0+231933,sm03_128066_020_ML00011_001_c030,127.3461174400789,23.325935117768573,226.19983,0.30535495,236.96516
3eRASS J071442.2-010943,sm03_110090_020_ML00019_001_c030,108.67606719631361,-1.1620285735034759,217.67325,0.30527237,229.22527
3eRASS J193835.4-461259,sm03_296135_020_ML00018_001_c030,294.64782529917477,-46.21659173522456,176.91158,0.304023,267.41266
3eRASS J192412.5-761346,sm03_291165_020_ML00016_001_c030,291.05210045837293,-76.22955343142375,362.46964,0.3029059,407.6286
3eRASS J111002.6+314937,sm03_168057_020_ML00015_001_c030,167.51122414186736,31.827131411873207,185.64238,0.30281246,238.82443
3eRASS J110907.0+283458,sm03_166060_020_ML00016_001_c030,167.27928338878309,28.582971930261234,178.83226,0.30148053,243.74066
3eRASS J011704.6-574035,sm03_019147_020_ML00023_001_c030,19.269546617572484,-57.67665168529938,316.88803,0.30032235,398.91052
3eRASS J195802.2-731157,sm03_302162_020_ML00019_001_c030,299.50942944406376,-73.19918829353418,341.97784,0.29785383,382.19522
3eRASS J181955.9-511129,sm03_275141_020_ML00015_001_c030,274.9829393767611,-51.19149789496908,178.67735,0.29587033,279.1352
3eRASS J175141.2-425031,sm03_267132_020_ML00016_001_c030,267.92206906833695,-42.84194947866342,185.71185,0.29491588,307.91293
