IAUNAME,UID,RA,DEC,POS_ERR,DET_LIKE_0,ML_RATE_1,ML_RATE_ERR_1,ML_FLUX_1,ML_EXP_1,MJD_MIN,MJD_MAX
1eRASS J085443.6-664556,113515600088,133.68175355870125,-66.76582125376216,2.536243,55.429497,0.07146693,0.014301708,6.6542766e-14,457.3797,58847.973,58852.137
1eRASS J054135.8-092937,108609900068,85.3991936243772,-9.493667800765895,2.539094,55.16734,0.16622289,0.039280746,1.5476991e-13,117.37845,58934.734,58935.734
1eRASS J160238.0-254139,124211700016,240.6584922775962,-25.694410985466284,2.3852777,55.16514,0.33601263,0.060893267,3.1286093e-13,133.36462,58911.168,58912.168
1eRASS J014850.3-205252,102711100007,27.20971916536973,-20.88116958276623,2.679768,55.023354,0.21249503,0.041711565,1.9785385e-13,153.68513,58844.84,58846.176
1eRASS J060336.8-775217,109616800010,90.90361984868967,-77.87162221981976,12.867357,54.850746,0.09320058,0.016864456,8.677894e-14,505.9753,58936.203,58941.87
1eRASS J144310.9-485110,121913800046,220.7956825327263,-48.852872813321525,2.7750976,54.82986,0.16250269,0.03460764,1.5130605e-13,161.86673,58898.348,58902.848
1eRASS J054710.5-694301,109015900054,86.79415077538343,-69.7170903361915,2.2192128,54.77422,0.07028059,0.010381489,6.543817e-14,1298.2378,58947.54,58959.707
1eRASS J031053.8-334620,104812300082,47.72433313505713,-33.7723404037971,2.4051993,54.61786,0.1137704,0.02407211,1.0593148e-13,237.91505,58864.0,58866.164
1eRASS J064506.5-164409,110210800002,101.27726413006808,-16.735983128977917,2.261881,54.33868,1.0749422,0.20703626,1.0008773e-12,47.49182,58951.066,58951.9
1eRASS J042135.7-520733,106714100073,65.39890009770392,-52.126041925464655,2.135577,53.966164,0.10928836,0.023060365,1.0175825e-13,507.2091,58872.49,58877.156
1eRASS J111323.0+023215,117008700014,168.34621570217413,2.537686869990415,3.5464187,53.87088,0.41890338,0.08141571,3.900404e-13,75.82963,58999.082,58999.582
1eRASS J090340.0+120325,113607800020,135.91672715081296,12.057218778453842,3.9571676,53.563633,0.28994247,0.06483652,2.6996507e-13,79.68573,58973.082,58973.75
1eRASS J080503.6-765352,112216800133,121.26506029360493,-76.89783765021062,2.336877,53.500546,0.064828046,0.013526166,6.036131e-14,437.47546,58906.203,58910.203
1eRASS J154527.5-762425,123816500060,236.3647118508476,-76.40695183786197,2.4268308,53.33981,0.13937645,0.02980373,1.2977323e-13,197.77217,58926.19,58928.023
1eRASS J060434.9-665101,109315600737,91.14558034469346,-66.85043084223261,1.779096,53.13193,0.008172149,0.0011695459,7.609077e-15,12296.588,58828.98,59011.375
1eRASS J134511.7-403622,120813200007,206.2988922629257,-40.60623561763908,3.372554,52.47675,0.25630078,0.045218598,2.3864133e-13,188.22813,58876.45,58878.117
1eRASS J061450.7-725047,109516200034,93.71141109762769,-72.84647903711047,2.2966788,52.21994,0.058789153,0.009778577,5.4738505e-14,999.7836,58924.707,58934.207
1eRASS J045339.0-313625,107212300083,73.41261105855399,-31.607091349697985,2.773633,51.74594,0.11099174,0.024671052,1.0334427e-13,213.87387,58913.727,58915.56
1eRASS J115621.5-630529,118015300138,179.08977799300064,-63.09145446812095,2.8569605,51.726974,0.15022899,0.027509438,1.3987802e-13,290.42834,58872.297,58874.965
1eRASS J134423.6-365627,120512600057,206.09867144072683,-36.94104097390687,2.729966,51.47524,0.17526008,0.03522153,1.6318443e-13,177.33545,58873.617,58875.28
1eRASS J062955.1-673115,109815900724,97.47969118318038,-67.52096428764887,2.339385,50.9989,0.0207548,0.0035814797,1.9324767e-14,2532.7266,58837.312,58861.312
1eRASS J062721.9-764947,109616800016,96.84128465369851,-76.82976311727579,3.133636,50.568703,0.084716566,0.0152449105,7.887949e-14,596.95703,58928.37,58934.035
1eRASS J061339.5-663606,109315600330,93.41486207353563,-66.60181016278483,2.0366836,50.51881,0.020714533,0.003353263,1.9287276e-14,3304.2898,58828.977,59011.375
1eRASS J030622.4-400621,104712900093,46.59349817712956,-40.10594473680103,2.7692633,50.28253,0.105608106,0.02312894,9.8331574e-14,237.27972,58855.996,58858.164
1eRASS J041309.3-540658,106214400225,63.288933152926575,-54.1162742218969,2.5130193,50.233334,0.06301463,0.012492209,5.867284e-14,506.08194,58862.32,58866.99
1eRASS J041605.6-240450,106311400005,64.02362470280943,-24.08066687774771,2.7078254,50.089775,0.2360239,0.048197895,2.1976156e-13,142.85149,58903.562,58904.73
1eRASS J055635.5-442744,108913500088,89.14799934740547,-44.462437462145694,2.327938,49.94814,0.08094479,0.018422216,7.536759e-14,271.44943,58937.72,58940.05
1eRASS J104505.7-594003,116315000403,161.27386552308124,-59.667645731396036,1.7498411,49.61833,0.3377219,0.050228816,3.1445243e-13,270.9929,58850.633,58852.965
1eRASS J081558.4+403320,112504800023,123.99342956200063,40.55568428866559,3.238137,49.592587,0.2650689,0.060760178,2.4680532e-13,80.67365,58960.258,58960.926
1eRASS J025543.6-141239,104510500015,43.93167600891846,-14.210845669906394,2.2074423,49.3123,0.19629937,0.03857212,1.827741e-13,191.20589,58871.84,58873.508
1eRASS J043241.9-481543,106713800171,68.17491168572259,-48.26215362044868,2.3255982,48.791706,0.06619424,0.014076012,6.163337e-14,414.40186,58887.55,58895.72
1eRASS J044325.6-540915,107214400014,70.85677770116801,-54.1542636190387,2.9890943,48.493114,0.08003737,0.014597402,7.452269e-14,584.55725,58881.55,58887.215
1eRASS J044646.6-662450,107315600032,71.69449922141227,-66.41399083249567,2.4617727,48.3674,0.11817251,0.017713524,1.1003028e-13,656.5251,58998.87,59005.203
1eRASS J052752.1-605619,108315000036,81.96712356134917,-60.93864463737011,1.886341,48.31742,0.07613152,0.01106384,7.0885965e-14,1085.1534,58889.88,58907.38
1eRASS J064911.2-643453,110015600519,102.29680262849305,-64.58157333461168,2.4778295,48.26326,0.039508313,0.007977942,3.678614e-14,784.0347,58993.543,59001.043
1eRASS J030409.7-440227,104813500013,46.04077671676247,-44.04107634778796,3.292276,47.805054,0.16427207,0.03240602,1.5295351e-13,214.94353,58850.66,58852.996
1eRASS J041933.5-682038,106715900208,64.88966019942491,-68.34397178346275,2.2182636,47.487625,0.057011634,0.012354047,5.308346e-14,481.06894,58989.04,58993.54
1eRASS J103051.5-262837,115811700043,157.71465459671077,-26.47698758854835,2.7656555,47.3853,0.22411007,0.053331394,2.086686e-13,90.76104,59000.734,59001.402
1eRASS J055216.6-681015,109015900365,88.06918590212834,-68.17095656374906,1.9657853,46.511044,0.018720258,0.003393735,1.7430408e-14,2503.9958,58943.54,58967.54
1eRASS J051235.3-093621,107709900071,78.14741253641436,-9.606101566337902,3.0161016,46.377567,0.16698653,0.03743466,1.5548093e-13,141.77574,58925.902,58927.07
