DETUID,IAUNAME,RA,DEC,DET_LIKE_0,primary_100,ls10_NWAY_p_any,ls10_NWAY_match_flag,ls10_LS10_RA,ls10_LS10_DEC,ls10_class_gal_exgal,ls10_Class_STAREX,ls10_Exgal_prob_STAREX,ls10_class_jetted,ls10_dered_mag_r,ls10_LS10_TYPE,ls10_n_alt,gdr3_NWAY_p_any,gdr3_NWAY_match_flag,gdr3_GDR3_RA,gdr3_GDR3_DEC,gdr3_GDR3_PQSO,gdr3_GDR3_PGal,gdr3_GDR3_Pstar,gdr3_GDR3_parallax,gdr3_GDR3_parallax_over_error,gdr3_GDR3_phot_g_mean_mag,gdr3_n_alt,cw_NWAY_p_any,cw_NWAY_match_flag,cw_CW2020_RA,cw_CW2020_DEC,cw_CW2020_w1mpro,cw_CW2020_w2mpro,cw_n_alt,in_ls10,in_gdr3,in_cw,gdr3_dsc_max,gdr3_dsc_label,ls10_gdr3_sep,diff_object_0.5,class_conflict_0.5,tier_0.5,diff_object_0.8,class_conflict_0.8,tier_0.8
sm03_055129_020_ML02686_001_c030,3eRASS J034624.7-384928,56.60307217780611,-38.824681718077585,6.795448,False,0.44937408,1.0,56.60415972524082,-38.823951941025165,5.0,0.0,0.9917075141441329,0.0,22.856214458164388,PSF,0.0,4.458073e-09,1.0,56.60779331557211,-38.819659838499206,9e-08,0.00032445,4.992e-05,2.84866026661946,16.779835,18.901402,0.0,9.389311e-06,1.0,56.6002864,-38.8216329,18.69,18.087,0.0,True,True,True,0.00032445,GALAXY,18.509677638476198,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
sm03_019123_020_ML01014_001_c030,3eRASS J011727.7-334304,19.365465088263317,-33.71783969023262,8.347038,False,0.924158,1.0,19.365892969088016,-33.71674222664018,4.0,0.0,0.8490906320842088,0.0,22.587734181049264,PSF,0.0,0.0,1.0,19.375745641229138,-33.70732341777679,3.693e-05,0.00051243,0.9967502,,,21.56783,0.0,0.9882579,1.0,19.3658347,-33.7167255,17.252,16.081,0.0,True,True,True,0.9967502,STAR,44.94641540237341,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_089150_020_ML01847_001_c030,3eRASS J055045.3-584548,87.6890144253794,-58.763402853127005,16.103249,False,0.0566132,1.0,87.68848684484112,-58.76512525741067,4.0,0.0,0.9435701359432227,0.0,22.631263149411463,PSF,0.0,8.633111e-06,1.0,87.68179155695333,-58.76100863909538,0.0,0.0,0.99997574,1.3264332950950333,6.0452943,19.22433,0.0,0.7645155,1.0,87.690705,-58.7646885,17.549,16.444,0.0,True,True,True,0.99997574,STAR,19.3866321984952,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
sm03_119081_020_ML00574_001_c030,3eRASS J075957.9+084720,119.99133704305889,8.789091800451583,6.6563673,False,0.021451617,1.0,119.99348721079791,8.788751547622342,5.0,0.0,0.9966364903023271,0.0,24.061822909550735,REX,0.0,0.012077272,1.0,119.99318191715385,8.792066148686395,0.0,0.0,0.99999577,0.5504015504301684,1.8137794,19.54173,0.0,0.35184947,1.0,119.9917864,8.7890611,17.437,16.643,0.0,True,True,True,0.99999577,STAR,11.981894952975345,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
sm03_204147_020_ML00621_001_c030,3eRASS J133316.7-581330,203.31969161739696,-58.225274217293,9.163737,False,,,,,,,,,,,,0.121706374,1.0,203.32065068623976,-58.22538147572291,0.0,0.0,0.99999875,0.13843463899548109,1.4260417,17.785128,3.0,0.30572283,1.0,203.3204899,-58.2250739,14.944,14.892,0.0,False,True,True,0.99999875,STAR,,False,False,T3_no_ls10_nothing,False,False,T3_no_ls10_nothing
sm03_174081_020_ML00236_001_c030,3eRASS J113906.7+102341,174.77826797393135,10.394932580929737,21.458817,False,0.99777657,1.0,174.7782520680577,10.395875771236708,5.0,0.0,0.9857165180442091,0.0,20.15588908392464,SER,0.0,0.0,1.0,174.7696347892473,10.402021884658371,0.0,0.0,0.99992657,2.3142734907343234,9.434817,18.213444,0.0,0.9979817,1.0,174.7782154,10.3958758,15.193,14.475,0.0,True,True,True,0.99992657,STAR,37.69085861687524,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_085075_020_ML00012_001_c030,3eRASS J053236.3+153857,83.15162776383633,15.649422696649287,387.70892,False,,,,,,,,,,,,0.9480826,1.0,83.15194907768844,15.648962795028101,6.709e-05,2.63e-06,0.99962085,-0.15268574389122128,-0.6329388,18.95709,0.0,0.9940652,1.0,83.1519628,15.6489785,13.553,12.514,0.0,False,True,True,0.99962085,STAR,,False,False,T3_no_ls10_gdr3_dsc_only,False,False,T3_no_ls10_gdr3_dsc_only
sm03_005162_020_ML00716_001_c030,3eRASS J001451.3-705014,3.7138165409891952,-70.8372870488636,14.43326,False,0.044166278,1.0,3.7125885985154667,-70.83753728223465,3.0,0.0,,0.0,24.486556141814788,PSF,0.0,0.0,1.0,3.7382250492170512,-70.832828579495,0.0,0.0,0.99997026,1.460693863856956,5.416497,19.607803,0.0,0.51202685,1.0,3.7136671,-70.8364666,18.624,17.543,0.0,True,True,True,0.99997026,STAR,34.71452260968229,False,False,T4_in_ls10_unclassified,False,False,T4_in_ls10_unclassified
sm03_146105_020_ML00125_001_c030,3eRASS J095011.7-133705,147.5489738065081,-13.618251520527668,9.779259,False,0.9990052,1.0,147.55016038256878,-13.619683039822092,5.0,0.0,0.9968717902253115,0.0,20.497554751336523,PSF,0.0,0.73579603,1.0,147.55016038256878,-13.619683039822092,0.9999975,0.0,0.0,1.080898631655641,0.630522,20.776863,0.0,0.99435204,1.0,147.5501895,-13.6196806,16.213,15.125,0.0,True,True,True,0.9999975,QSO,0.0,False,False,T1_single_catalog_classified,False,False,T1_single_catalog_classified
sm03_126111_020_ML00591_001_c030,3eRASS J082156.6-222954,125.48597746029468,-22.49856808326261,8.963945,False,,,,,,,,,,,,0.044897974,1.0,125.48675780333292,-22.495937704571848,0.00070836,2.073e-05,0.9990868,,,21.090084,1.0,0.1784906,1.0,125.4845855,-22.497515,17.864,16.801,1.0,False,True,True,0.9990868,STAR,,False,False,T3_no_ls10_nothing,False,False,T3_no_ls10_nothing
