IAUNAME,GDR3_UID_5XMM,GDR3_UID_2RXS,GDR3_UID_CSC,GDR3_source_id,GDR3_Xray_proba,GDR3_NWAY_Separation_GDR3_ERO,GDR3_NWAY_p_any,GDR3_NWAY_p_i,GDR3_NWAY_match_flag,GDR3_parallax,GDR3_parallax_error,GDR3_pm,GDR3_ruwe,GDR3_phot_g_mean_mag,GDR3_phot_bp_mean_mag,GDR3_phot_rp_mean_mag,GDR3_PQSO,GDR3_PGal,GDR3_Pstar,GDR3_n_rows,LS10_ERO_LS10_FULLID,LS10_Xray_proba,LS10_NWAY_Separation_LS10_ERO,LS10_NWAY_p_any,LS10_NWAY_p_i,LS10_NWAY_match_flag,LS10_TYPE,LS10_dered_mag_g,LS10_dered_mag_r,LS10_dered_mag_z,LS10_dered_mag_W1,LS10_dered_mag_W2,LS10_g_minus_r,LS10_z_minus_W1,LS10_W1_minus_W2,LS10_Class_STAREX,LS10_Exgal_prob_STAREX,LS10_class_gal_exgal,LS10_class_jetted,LS10_main_id_simbad,LS10_n_rows,CW2020_source_id,CW2020_Xray_proba,CW2020_NWAY_p_any,CW2020_NWAY_p_i,CW2020_NWAY_match_flag,CW2020_w1mpro,CW2020_w1sigmpro,CW2020_w2mpro,CW2020_w2sigmpro,CW2020_PMRA,CW2020_PMDec,CW2020_sigPMRA,CW2020_sigPMDec,CW2020_n_rows,hard_name,hard_sep_arcsec,hard_detlike3
3eRASS J173758.6-374616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2652m379_b0-026746,0.1890075792931325,2.7490676e-11,1.0,1.0,11.581,0.033,11.814,0.03,-0.04251,0.05467,0.0054,0.0066,1.0,3eRASS J173758.6-374616,0.09113410440809808,916.97906
3eRASS J192832.3-500134,-1.0,0.0,,6.658737220627066e+18,0.6683699279175452,0.1575387,0.99635005,0.9961875,1.0,7.714315071975394,0.056927517,63.300034,1.3402498,16.189766,16.59921,15.33739,2e-08,9.8e-07,0.9999812,1.0,sm03_293141_020_ML00002_001_c030_10000_78112_6312,0.6576253582374941,0.1575387,0.96627927,0.6568346,1.0,PSF,16.848123737344523,17.670725008958243,15.624347965978988,15.727695862330325,16.250780510928013,-0.8226012716137205,-0.10334789635133745,-0.5230846485976883,1.0,0.02272796946054922,-5.0,0.0,,2.0,2926m500_b0-002030,0.9768548040936466,0.9993466,1.0,1.0,13.074,0.016,12.822,0.013,-0.06703,-0.0109,0.0072,0.0072,1.0,3eRASS J192832.3-500134,0.04645557948970361,191.51167
3eRASS J045649.7-203747,3086277020100001.0,0.0,,2.9742687050682644e+18,0.715927626266465,1.2741119,0.99054706,1.0,1.0,-0.33943264919772936,0.5827652,0.6512824,1.7071412,19.66612,18.788177,17.37733,0.0,1.0,0.0,1.0,sm03_075111_020_ML00007_001_c030_10000_213641_10495,0.18706356382607403,1.2741119,0.51830286,1.0,1.0,SER,18.357231524959065,17.499477767483516,16.89723576036424,17.21273976611361,17.758488907367393,0.8577537574755496,-0.31550400574937143,-0.5457491412537827,0.0,0.9644144644602066,5.0,0.0,,1.0,0742m213_b0-003334,0.23322316806226243,0.90949917,0.99567,1.0,14.923,0.098,14.881,0.105,0.00521,-0.00467,0.0146,0.0131,1.0,3eRASS J045649.7-203747,0.1512713595257441,19.375149
3eRASS J155100.8-453347,-1.0,0.0,,5.988386112446545e+18,0.5222212361527151,1.9460402,0.07155899,0.99999875,1.0,10.989225620507517,0.13151854,40.99312,0.9492246,17.776318,20.09424,16.374609,0.0,0.0,0.99999666,1.0,,,,,,,,,,,,,,,,,,,,,,2385m455_b0-016398,0.43041346257308244,0.70783085,1.0,1.0,13.038,0.013,12.913,0.013,-0.01206,-0.06122,0.0057,0.0064,1.0,3eRASS J155100.8-453347,0.360361287482535,70.38288
3eRASS J074910.4-054926,-1.0,131607.0,,3.0442633404165253e+18,0.5728980759910649,1.3227589,0.95019865,1.0,1.0,0.8493078862427216,0.09599748,5.71117,1.0392343,17.918188,18.145716,17.417652,3e-07,2e-08,0.99998176,1.0,,,,,,,,,,,,,,,,,,,,,,1169m061_b0-021231,0.3671013602533044,0.912686,1.0,1.0,15.556,0.022,15.297,0.037,-0.03172,-0.05503,0.0172,0.0202,1.0,,,
3eRASS J115415.8-501801,-1.0,0.0,,5.370642890382758e+18,0.7568866805721849,0.75649184,0.98170036,1.0,1.0,3.2040688735830636,0.037025485,68.270256,1.0530988,16.215141,16.661535,15.760099,5e-08,1.1e-07,0.9999998,1.0,,,,,,,,,,,,,,,,,,,,,,1788m500_b0-005204,0.8483722222795609,0.9914778,1.0,1.0,13.382,0.014,13.168,0.011,-0.08398,-0.00343,0.0057,0.007,1.0,3eRASS J115415.8-501801,0.07383848290083277,58.843422
3eRASS J155747.9-542453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400m546_b0-048475,0.588691735960449,0.62736404,0.9999881,1.0,11.69,0.008,11.603,0.006,-0.00404,-0.0206,0.0034,0.0037,1.0,3eRASS J155747.9-542453,0.22406107587850446,3058.9924
3eRASS J090023.0+214951,-1.0,0.0,,6.851039128570726e+17,0.8150973307489545,3.9925663,0.030536162,1.0,1.0,157.26857654561297,0.053540938,784.8118,1.2278774,13.413064,16.35116,11.9515915,0.0,0.0,0.99999875,1.0,sm03_135069_020_ML00005_001_c030_10000_453346_8341,0.3939284567732135,3.0328586,0.14130275,0.65239644,1.0,PSF,25.63146034984129,24.227298283235346,20.51093739413725,14.737765545378073,15.045394333032254,1.4041620666059451,5.773171848759178,-0.3076287876541812,0.0,0.958968656126207,5.0,0.0,,2.0,1356p212_b0-000049,0.8521937452219993,1.1914709e-06,1.0,1.0,9.475,0.014,9.227,0.011,-0.60856,-0.708,0.0053,0.0061,1.0,,,
3eRASS J092909.3-024504,-1.0,0.0,,3.8377463807056384e+18,0.9496092068268364,1.0198587,0.9994704,1.0,1.0,55.26762521593975,0.024892151,139.65509,1.104567,6.9486914,7.383951,6.344556,0.0,0.0,0.9976672,1.0,sm03_143093_020_ML00002_001_c030_10000_315097_1762,0.9863986657893992,1.0198587,0.99807787,1.0,1.0,PSF,10.12021497683076,9.804002971055679,10.809555964422747,8.010611716259433,8.22389113631322,0.31621200577508013,2.7989442481633144,-0.2132794200537873,1.0,2.0839090223987076e-15,-5.0,0.0,,1.0,1421m031_b0-000002,0.6244542473006177,0.96439284,1.0,1.0,5.366,0.041,5.105,0.028,0.05542,0.0531,0.0088,0.0076,1.0,,,
3eRASS J132435.1-194509,-1.0,157574.0,,3.506736004277203e+18,0.6224843616077476,2.4676259,0.83119774,0.8259646,1.0,-1.0887343713446094,0.25411877,1.6624316,1.9015893,17.016499,15.938104,14.541972,0.0,1.0,0.0,1.0,sm03_202111_020_ML00004_001_c030_10000_219530_5030,0.8162156720199928,2.270802,0.87652516,0.96622545,1.0,SER,14.033120841905655,inf,12.838770967460194,12.811009792134188,12.946241926890842,-inf,0.027761175326006082,-0.13523213475665408,0.0,,2.0,0.0,2MASX J13243528-1945114,1.0,2016m197_b0-000126,0.9807750613117727,0.99301636,0.8939528,1.0,10.556,0.016,10.148,0.014,-0.04099,-0.02146,0.0037,0.0039,1.0,3eRASS J132435.2-194509,0.6112089487780179,53.237335
3eRASS J083821.2+241036,-1.0,88455.0,,6.665065326674889e+17,0.8597216963463594,0.39550647,0.9988763,1.0,1.0,0.28235882466664614,0.20697342,0.68753815,1.1668087,18.115196,17.395882,16.231457,2.756e-05,0.999928,4.439e-05,1.0,sm03_128066_020_ML00005_001_c030_10000_466605_5019,0.9981111522011014,0.4310272,0.9998811,1.0,1.0,SER,15.791952503182742,15.073927071500368,14.524836375584652,14.443402246914246,14.51756493806727,0.7180254316823742,0.08143412867040567,-0.07416269115302399,0.0,0.7813891787837327,4.0,0.0,2MASX J08382122+2410367,2.0,1288p242_b0-000630,0.9738675180840928,0.99945855,1.0,1.0,12.598,0.014,12.006,0.011,-0.01615,-0.00731,0.0045,0.0049,1.0,,,
3eRASS J155517.1-232216,3079238223100012.0,158256.0,,6.237252529183461e+18,0.9976640189076238,1.6561601,0.99965537,1.0,1.0,8.08169035835583,0.047217466,33.81584,2.9612253,13.470051,15.073754,12.236904,0.0,0.0,0.99296397,1.0,sm03_238114_020_ML00013_001_c030_10000_200883_8920,0.6015087442447945,2.1341772,0.5850063,1.0,1.0,PSF,18.80639428071729,inf,13.137318455994427,14.489164563682113,15.533993566547366,-inf,-1.3518461076876864,-1.044829002865253,0.0,,3.0,0.0,ScoPMS   8b,1.0,2394m228_b0-000125,0.9136363430254991,0.9911974,1.0,1.0,9.218,0.012,9.064,0.009,-0.04049,-0.03572,0.0037,0.0041,1.0,,,
3eRASS J205101.0-743003,-1.0,0.0,,6.370061714064936e+18,0.04803897283777961,0.68641984,0.8134614,1.0,1.0,,,,,20.082851,18.983335,17.994839,0.15438744,0.8456126,0.0,1.0,sm03_312165_020_ML00004_001_c030_10000_12395_504,0.7526931763053539,0.68641984,0.975723,1.0,1.0,DEV,18.21761872693878,17.88853924833229,17.569417984145083,17.75532177051655,18.059136510230847,0.32907947860649145,-0.18590378637146543,-0.30381473971429784,0.0,0.9524483581897225,5.0,0.0,,1.0,3123m743_b0-006429,0.30007425197061194,0.9343246,1.0,1.0,15.163,0.017,14.903,0.023,0.02484,-0.0143,0.0132,0.0119,1.0,3eRASS J205101.0-743003,0.22003739647135254,18.794067
3eRASS J024510.8-434441,-1.0,-184893.0,,4.947513157730843e+18,0.9409424995869256,3.5066903,0.082991,1.0,1.0,90.17717039545313,0.024988465,389.11893,1.1959121,11.048344,12.612056,9.831223,0.0,0.0,1e-06,1.0,sm03_039135_020_ML00006_001_c030_10000_102101_7111,0.9577657070958739,3.5066903,0.3721812,1.0,1.0,PSF,12.987247541912271,11.784102489243358,10.855835650007371,10.246868259150382,10.243775317617185,1.2031450526689138,0.6089673908569893,0.0030929415331968357,1.0,2.1003009932335632e-26,-5.0,0.0,,1.0,0416m440_b0-000007,0.83363688537337,0.16862929,1.0,1.0,7.437,0.017,7.003,0.009,0.04725,-0.38528,0.0045,0.0042,1.0,,,
3eRASS J064957.1+281418,-1.0,-76891.0,,3.385565184333443e+18,0.9963102954781109,0.61832076,0.9998895,1.0,1.0,0.18022724196235634,0.10503228,0.23914228,1.0500678,17.474249,17.425528,16.528337,0.99913925,0.0008608,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,1028p287_b0-001675,0.9961677413998151,0.99988085,1.0,1.0,12.775,0.013,11.833,0.01,-0.00066,-0.00402,0.0046,0.0048,1.0,3eRASS J064957.2+281418,0.4350306054529497,18.32833
3eRASS J072919.2+081501,-1.0,113488.0,,3.1432750797548196e+18,0.7439208268674663,0.59133,0.9864454,1.0,1.0,0.43877860818202297,0.28367013,9.141126,0.90589887,19.113914,19.048075,18.79664,0.01189728,0.00059554,1.377e-05,1.0,,,,,,,,,,,,,,,,,,,,,,1128p075_b0-058462,0.25302396579638275,0.88101965,1.0,1.0,17.158,0.061,16.871,0.145,0.06268,0.0773,0.068,0.0764,1.0,,,
3eRASS J091529.5-690509,-1.0,-211653.0,,5.222920479527658e+18,0.9515055244371511,0.99223435,0.9971153,1.0,1.0,,,,,13.141557,14.18735,11.445398,0.0,0.0,0.99861324,1.0,,,,,,,,,,,,,,,,,,,,,,1381m697_b0-000132,0.9503660990446123,0.99715424,1.0,1.0,8.761,0.012,8.591,0.009,-0.0643,0.0732,0.0031,0.0036,1.0,3eRASS J091529.5-690508,0.10611198275957791,13.3010845
