IAUNAME,DETUID,RA,DEC,POS_ERR,DET_LIKE_0,ML_RATE_1,ML_RATE_ERR_1,ML_FLUX_1,ML_EXP_1,approx_erass1_rate_lim,implied_min_rise
3eRASS J193958.4-654241,sm03_294156_020_ML00011_001_c030,294.99364631286994,-65.71149200398445,1.0793830608166552,430.13284,0.44529694,0.03840087,4.1461542e-13,337.7129,0.033626485615968704,13.242446691373805
3eRASS J052008.2+032459,sm03_080087_020_ML00010_001_c030,80.03438690151184,3.4163889646960954,0.9076547678840029,582.01154,0.44228396,0.036522385,4.1181002e-13,364.78326,0.033626485615968704,13.152845148545827
3eRASS J205143.3-631803,sm03_313153_020_ML00014_001_c030,312.93080816932587,-63.30096053332996,1.0193788522597025,468.32864,0.43475735,0.038012907,4.04802e-13,332.0322,0.033626485615968704,12.929015444565088
3eRASS J102237.1+210627,sm03_155069_020_ML00019_001_c030,155.65476210058674,21.10756612452162,1.3528273566663405,301.75558,0.42728326,0.045459945,3.978429e-13,226.1372,0.04354822635650635,9.811725826628964
3eRASS J134422.1-485656,sm03_206138_020_ML00024_001_c030,206.09240368162637,-48.94905696520003,0.9219534279521063,641.98035,0.4271186,0.029918581,3.9768959e-13,532.2442,0.028534311801195145,14.968596487998557
3eRASS J173709.3-391951,sm03_263129_020_ML00016_001_c030,264.2890956789237,-39.33098265580197,1.0478099599756296,394.0268,0.42589173,0.03809224,3.9654724e-13,333.64304,0.033626485615968704,12.665365393011564
3eRASS J142544.2-310722,sm03_218120_020_ML00013_001_c030,216.43425292212672,-31.122872792358756,0.9840899725927302,462.91095,0.41852608,0.034275442,3.896891e-13,405.56277,0.033626485615968704,12.446322461727034
3eRASS J060329.6-260805,sm03_092117_020_ML00025_001_c030,90.87340831513143,-26.134981080113633,1.3553306580683464,495.89777,0.41623408,0.034492325,3.87555e-13,392.71378,0.033626485615968704,12.378161690064887
3eRASS J041718.1-080251,sm03_065099_020_ML00014_001_c030,64.32570463708956,-8.047654465281026,1.0042883183276679,496.4597,0.41073373,0.032385845,3.8243364e-13,439.92532,0.028534311801195145,14.394380087474302
3eRASS J210916.5-432059,sb03_318132_020_ML00016_001_c030,317.3187633682926,-43.34976736079134,1.2542387456478872,266.53555,0.40851423,0.04443732,3.8036707e-13,227.98541,0.04354822635650635,9.380731791442313
3eRASS J055328.3-334239,sm03_090123_020_ML00004_001_c030,88.3681581093639,-33.710842769269796,1.1893911994945623,502.32617,0.4080925,0.029457053,3.799744e-13,608.9255,0.02361605130136013,17.280302010344695
3eRASS J094631.9+351949,sm03_147054_020_ML00009_001_c030,146.63301545879244,35.33042075743696,1.301236371741397,288.63516,0.4015403,0.04331287,3.7387368e-13,236.38113,0.04354822635650635,9.22058928195035
3eRASS J084719.8+380043,sm03_131051_020_ML00009_001_c030,131.8328708097058,38.0119605738856,1.8823749984192624,286.3814,0.39924616,0.042014364,3.7173758e-13,252.14052,0.0389280766248703,10.255994922713393
3eRASS J212224.1-634231,sm03_319153_020_ML00013_001_c030,320.6007030628999,-63.70879675459812,1.061611246055306,384.6969,0.3938128,0.036032304,3.666786e-13,339.9621,0.033626485615968704,11.711387562522566
3eRASS J002104.0-692047,sm03_004159_020_ML00017_001_c030,5.267015517398546,-69.34650580586039,0.9947200353739878,506.64124,0.39337698,0.0315619,3.662728e-13,445.82733,0.028534311801195145,13.786103516087806
