cand_set,name,RA,DEC,POS_ERR,l_deg,b_deg,match_type,direction,DET_LIKE_0,DET_LIKE_0_D1,ML_RATE_1,ML_RATE_1_D1,ML_FLUX_1,ML_FLUX_1_D1,R,epoch_ratio,amp_cons,epoch_amp_cons,rank_amp,z_var,approx_erass1_rate_lim,implied_min_rise,gaia_source_id,gaia_sep_arcsec,gaia_G,gaia_bp_rp,gaia_plx,gaia_plx_err,gaia_pmra,gaia_pmdec,simbad_main_id,simbad_otype,simbad_sep_arcsec,first_guess_class,caveats,verdict,verdict_detail,verdict_evidence,dossier,forensic_class_v2,ul_presence,nway_p_any_gdr3,nway_p_any_cw2020,hard_detlike3,verdict_sources
vanished_full,1eRASS J090022.7+215010,135.0947625673474,21.83629659439152,5.6205754,,,,,,38.23994,,0.22569467,,2.1014402e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 4.65; bright-neighbor sep 19.489915800859595""",False,ARTIFACT-CONFUSION,4.645174888951258,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J094458.2-134712,146.24272907146064,-13.786669991360563,2.7354064,,,,,,37.982613,,0.30258968,,2.8174086e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,absorbed into extended source,"UL presence 1.87; bright-neighbor sep nan""",False,ARTIFACT-EXTENDED,1.8729575533172813,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J040908.4-390319,62.28523844612973,-39.05536805603261,2.7687066,,,,,,37.81274,,0.07281497,,6.7797927e-14,,,,,,,,,,,,,,,,,,,,,,PLAUSIBLE-CLASS,AGN fader (high-amplitude X-ray variability),CatWISE W1-W2=0.9319999999999986; Gaia classifier AGN 0.9291117; stack blank (presence 1.02),False,FADE-CANDIDATE,1.0179869512979136,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J082320.2+155746,125.83431112271631,15.962891834585436,2.7790918,,,,,,37.75455,,0.28632346,,2.665954e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,absorbed into extended source,"UL presence 2.01; bright-neighbor sep nan""",False,ARTIFACT-EXTENDED,2.009506975593765,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J055137.6-560320,87.90703197731052,-56.0556560694175,2.7666974,,,,,,37.32806,,0.0426746,,3.9734268e-14,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 2.57; bright-neighbor sep 21.284218053736502""",False,ARTIFACT-CONFUSION,2.566307147205269,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J140703.2-510202,211.76340985980323,-51.0340519249508,4.2276263,,,,,,37.22456,,0.19124243,,1.7806558e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,absorbed into extended source,"UL presence 2.50; bright-neighbor sep nan""",False,ARTIFACT-EXTENDED,2.499049938870541,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J113059.6-441905,172.7484962686637,-44.31812006231056,2.572085,,,,,,37.17089,,0.11058113,,1.0296195e-13,,,,,,,,,,,,,,,,,,,,,,PLAUSIBLE-CLASS,unclassified real fader (blank counterpart),position blank in stack (UL presence 1.37); no archival X-ray; counterpart faint/absent - XRB/CV/AGN flare all open,False,FADE-CANDIDATE,1.3708818648176346,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J171152.6-500622,257.9692556025896,-50.10612932932864,2.690874,,,,,,36.85595,,0.16742383,,1.5588812e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 2.08; bright-neighbor sep 16.810083499809494""",False,ARTIFACT-CONFUSION,2.084243028542496,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J061834.2-644711,94.64250858225348,-64.78659914145865,2.526196,,,,,,36.843494,,0.02319814,,2.1599759e-14,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 1.52; bright-neighbor sep 34.08697341066712""",False,ARTIFACT-CONFUSION,1.5156944689361558,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J082100.7-420120,125.25320143198456,-42.02230406072773,4.180143,,,,,,36.831562,,0.19946605,,1.8572259e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 2.17; bright-neighbor sep 16.33539564522889""",False,ARTIFACT-CONFUSION,2.167786476480662,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J090022.1+094122,135.09242286463154,9.68969752739356,3.2918732,,,,,,36.57181,,0.19978838,,1.860227e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 2.13; bright-neighbor sep 16.082815484631798""",False,ARTIFACT-CONFUSION,2.1333747306684074,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J083358.4-174526,128.49343709643088,-17.757327591344502,2.5989115,,,,,,36.52059,,0.14926493,,1.389804e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 1.88; bright-neighbor sep 19.95114436562879""",False,ARTIFACT-CONFUSION,1.883519189694562,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J061348.1-673745,93.45052164805918,-67.62936713076384,2.340112,,,,,,36.486954,,0.010669146,,9.934028e-15,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 1.84; bright-neighbor sep 28.17676314834934""",False,ARTIFACT-CONFUSION,1.8402561194608589,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J035053.9+061651,57.72488357978435,6.281082820749983,4.0009384,,,,,,36.455864,,0.18981332,,1.7673494e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,erbox confusion dropout (paper Sect. 3.2.5),"UL presence 1.95; bright-neighbor sep 34.28907179729293""",False,ARTIFACT-CONFUSION,1.947329899269309,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J064954.3-705132,102.4763974384146,-70.85899256512197,2.5901077,,,,,,36.41423,,0.021812523,,2.0309612e-14,,,,,,,,,,,,,,,,,,,,,,PLAUSIBLE-CLASS,unclassified real fader (blank counterpart),position blank in stack (UL presence 1.06); no archival X-ray; counterpart faint/absent - XRB/CV/AGN flare all open,False,FADE-CANDIDATE,1.0594711141378774,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
vanished_full,1eRASS J102243.2+321848,155.68024563822468,32.313581257754656,2.7163267,,,,,,36.37899,,0.34372342,,3.2004044e-13,,,,,,,,,,,,,,,,,,,,,,ARTIFACT,"DR2 source within 15"" (crosswalk miss)","UL presence 2.93; bright-neighbor sep nan""",False,ARTIFACT-SPLIT/MOVED,2.929709297346635,,,,"services 2026-08-14: CDS X-Match (2RXS J/A+A/588/A103, XMMSL3 IX/71, CSC2.1 IX/70, 2SXPS IX/58, CatWISE II/365, GaiaDR3 var I/358, ART-XC J/A+A/687/A183, MKM J/MNRAS/544/885); HEASARC xmmssc(5XMM); NWAY eRASSc3 27Jul2026; DR2 UL server erodat; SIMBAD; TNS; ASAS-SN SkyPatrol v2"
