name,RA,DEC,cand_set,tid,2rxs_sep,2rxs_id,2rxs_cts,2rxs_hr1,2rxs_n,xmmsl3_sep,xmmsl3_id,xmmsl3_flux_02_2,xmmsl3_flux_02_12,xmmsl3_rate_02_2,xmmsl3_n,csc21_sep,csc21_id,csc21_flux_b,csc21_flux_s,csc21_flag_e,csc21_flag_var,csc21_n,2sxps_sep,2sxps_id,2sxps_rate0,2sxps_flux_po0,2sxps_det,2sxps_pconst,2sxps_n,catwise_sep,catwise_id,catwise_w1,catwise_w2,catwise_n,gvar_sep,gvar_id,gvar_gmin,gvar_gmax,gvar_ng,gvar_n,gclass_sep,gclass_id,gclass_class,gclass_score,gclass_n,xmmssc_id,xmmssc_sep,xmmssc_flux_02_12,xmmssc_flux_err,xmmssc_flux_05_2,xmmssc_nobs,xmmssc_n,artxc_sep,artxc_name,artxc_flux,artxc_signi,artxc_cname,artxc_newxray,artxc_type,artxc_z,mkm_sep,mkm_iauname,mkm_ferass1,mkm_f2rxs,mkm_dist,mkm_lum
1eRASS J121547.0-173140,183.9459016611428,-17.527785127200293,vanished_full,145,,,,,,,,,,,,,,,,,,,7.485787,91298.0,0.0391,1.532e-12,0.0,0.000793,1.0,,,,,,6.575472,3.52077470188565e+18,17.649841,18.05588,16.0,1.0,6.575472,3.52077470188565e+18,AGN,0.23925123,1.0,,,,,,,,,,,,,,,,,,,,,
1eRASS J060753.0-670524,91.9712452479053,-67.0901251026576,vanished_full,146,,,,,,,,,,,,,,,,,,,,,,,,,,0.367243,J060753.05-670524.8,16.932,16.756,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J110450.9-762524,166.2123558337007,-76.42360511880531,vanished_full,147,15.432206,2RXS J110454.6-762533,9.71,1.0,1.0,,,,,,,,,,,,,,5.324791,157631.0,0.0182,4.76e-13,0.0,0.0256,1.0,0.878423,J110450.94-762524.0,9.554,9.516,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J054351.5-654739,85.96459539873919,-65.79440540654224,vanished_full,148,,,,,,,,,,,,,,,,,,,,,,,,,,2.535761,J054351.08-654739.5,16.306,15.705,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J011222.6-281630,18.09437737770509,-28.27503368780116,vanished_full,149,23.919338,2RXS J011220.8-281626,31.32,1.0,1.0,18.187483,XMMSL3 J011221.7-281617,1.19188,,0.83,1.0,,,,,,,,4.03962,188713.0,0.00707,3.015e-13,0.0,,1.0,4.060811,J011222.37-281628.1,13.566,12.615,3.0,4.072744,5.03335979581129e+18,17.548981,17.894464,84.0,1.0,4.072744,5.03335979581129e+18,AGN,0.12677887,1.0,,,,,,,,,,,,,,,,,,,,,
1eRASS J043215.0-692624,68.06272088061927,-69.44023872724033,vanished_full,150,,,,,,,,,,,,,,,,,,,,,,,,,,9.628622,J043214.04-692616.8,17.528,17.465,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J085701.0-760307,134.25452651938895,-76.05221562654444,vanished_full,151,,,,,,,,,,,,,,,,,,,,,,,,,,2.066005,J085701.23-760306.0,16.253,15.769,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J070652.7-622111,106.71997728782866,-62.35331593289367,vanished_full,152,38.635037,2RXS J070658.2-622106,165.44,-0.209,1.0,,,,,,,,,,,,,,,,,,,,,1.677291,J070652.55-622112.3,10.15,9.939,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J155518.5-232210,238.82745632295035,-23.369720875707017,vanished_full,153,10.916937,2RXS J155517.8-232206,24.34,1.0,1.0,17.363687,XMMSL3 J155517.4-232207,,2.353228,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5XMM J155518.8-232206,6.439615191449304,1.49668e-13,1.9468e-14,1.049142e-13,6.0,1.0,,,,,,,,,,,,,,
1eRASS J051114.8-592056,77.8119565171076,-59.34891091324298,vanished_full,154,,,,,,,,,,,,,,,,,,,,,,,,,,3.732331,J051115.29-592054.2,16.057,15.359,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J055855.6-665204,89.73175394466855,-66.86784856559628,vanished_full,155,,,,,,,,,,,,,,,,,,,,,,,,,,2.524412,J055855.79-665202.0,17.992,17.187,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J062417.1-711335,96.07164416406653,-71.22642982549772,vanished_full,156,,,,,,,,,,,,,,,,,,,,,,,,,,3.41544,J062417.85-711333.8,20.322,17.557,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
