source_id,verdict,phot_g_mean_mag,bp_rp,d_pc,period,significance,l,b,activityindex_espcs,activityindex_espcs_uncertainty,activityindex_espcs_input,amp_g,amp_g_baseline,damp_g,amp_bp,damp_bp,amp_rp,damp_rp,phot_variable_flag,in_vari_summary,std_dev_mag_g_fov,range_mag_g_fov,stetson_mag_g_fov,in_vari_rotation_modulation,ruwe,ipd_frac_multi_peak,ipd_gof_harmonic_amplitude,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,phot_bp_rp_excess_factor,phot_g_n_obs,visibility_periods_used,notes
6588211521163024640,SPURIOUS,14.190253,0.7452707,1003.801428778628,943.3326302158464,10.4,9.29959865765813,-51.94594498179453,,,M2,-2.37606192123112,-2.3425472030102985,-0.033514718220821305,-2.2889643213345816,-0.20191310211331448,-2.24413890534491,0.07723268936028926,NOT_AVAILABLE,False,,,,,1.6392837,0,0.05295746,0.17757699,15.132704,15.75514,1.1949519,383,19,RVs inconsistent with orbital solution
6001459821083925120,SPURIOUS,13.598905,0.8894062,1123.9297762405267,563.832789334631,19.7,331.5361783329328,11.00131660231215,,,,-2.5090017944807608,-2.3971201640609947,-0.11188163041976606,-2.247448781935514,-0.008045496919063755,-2.2375392234674822,0.18494297719169683,NOT_AVAILABLE,False,,,,,3.399826,0,0.06630397,0.32671997,98.91784,56.452126,1.2127169,451,18,RVs inconsistent with orbital solution
5644387063402978304,UNKNOWN,13.962376,0.47794247,2094.4431098336895,879.925901409072,6.9,249.7343210538456,4.212599198519016,,,,-2.117011237552262,-2.360801947013982,0.24379070946171977,-2.2307395618640076,-0.07054620180334226,-2.2889849625656518,0.08172566675776238,VARIABLE,True,0.007562464,0.04375512,2.5105817,0.0,1.7347881,0,0.015711166,0.17068687,21.169216,22.316795,1.1794268,575,27,No RV follow-up
1007185297091149824,CONFIRMED,14.617752,0.8595991,1572.5538101116229,1120.1364118955353,9.8,152.2641788785475,22.121446254635003,,,M2,-2.338833870598394,-2.2877171055424768,-0.051116765055917224,-2.1592725979589815,-0.1743049446428271,-2.39169840181802,-0.1458666138654059,NOT_AVAILABLE,False,,,,,2.057793,0,0.0061154105,0.28960606,29.414389,22.3084,1.2034942,314,20,Good solution
1749013354127453696,SPURIOUS,14.493727,0.8720331,1630.8171560692815,932.0795371446142,7.9,52.4875221500775,-18.39125417171422,,,M2,-2.368098966109975,-2.305247374868544,-0.06285159124143114,-2.241652579319671,-0.22505266703479077,-2.400790564505222,-0.13398619896494557,NOT_AVAILABLE,False,,,,,1.7041503,0,0.013552144,0.24614419,25.951488,18.037117,1.2059422,405,20,RVs inconsistent with orbital solution
5954343888087990656,SPURIOUS,12.869043,0.98994446,923.6858283519366,702.452384053647,7.1,346.1572418819302,-10.696022186456927,,,M2,-2.46443129185538,-2.4114240600334185,-0.05300723182196165,-2.4659433541507254,-0.14624285557868522,-2.6107345442546217,-0.07916722316333225,NOT_AVAILABLE,False,,,,,3.3695064,0,0.07211687,0.4486788,180.72684,43.51462,1.2129432,274,19,RVs inconsistent with orbital solution
4590978336125467776,SPURIOUS,14.280363,0.721468,1720.2658542975735,682.322705222743,6.6,57.92030319310326,21.4850976552557,,,M2,-2.2599628096773277,-2.331062136573033,0.07109932689570542,-2.106464646303161,-0.0443303188923152,-2.015562735601419,0.2872203111669722,NOT_AVAILABLE,False,,,,,1.8072203,2,0.02903864,0.22911942,26.895432,21.397858,1.2068672,444,28,RVs inconsistent with orbital solution
6152333294796189568,SPURIOUS,14.691758,1.0405807,1904.5001485789885,1093.3787042990523,5.7,301.1197304897192,23.16770460469925,,,M2,-2.3643369070397933,-2.279327682514297,-0.08500922452549631,-2.0850628438146344,-0.11952881487011568,-2.051761419385102,0.18573113659453222,NOT_AVAILABLE,False,,,,,2.2985423,0,0.007646459,0.4070678,56.79365,28.993876,1.2204807,349,20,RVs inconsistent with orbital solution
4384513795007410048,SPURIOUS,13.499331,0.848608,982.0104391412617,745.2008349737059,16.7,20.148142332871597,26.239372308798835,,,M2,-2.1465921901555762,-2.399810101077822,0.2532179109222459,-2.197112684909248,0.05839378356813363,-2.109976854783089,0.3272022227578195,NOT_AVAILABLE,False,,,,,3.6604123,0,0.014727205,0.42702082,161.20175,57.40974,1.2084825,385,21,RVs inconsistent with orbital solution
5580526947012630912,CONFIRMED,13.359833,0.7405329,887.8395216119987,654.3255682460206,12.9,245.8209430826737,-18.06522780967134,,,M2,-2.3352043539743077,-2.40368713701882,0.06848278304451227,-2.4178825186387267,-0.1439638894860802,-2.4032797107403345,0.05841828613600164,NOT_AVAILABLE,False,,,,,5.242633,1,0.00964712,0.609003,355.53897,87.85222,1.1920956,413,28,Good solution
