rank,source_id,queue_bin,has_epoch_photometry,phot_g_n_obs,phot_g_mean_mag
215,1626845895609073536,v2_main,False,581,14.178413
216,5212664063261320704,v2_main,False,316,16.876823
217,1990492079252556544,retrieval_pr999,False,436,17.929861
218,5411675667897698048,v2_main,False,511,16.589254
219,5527237638507221376,v2_main,False,375,17.334604
220,5992613081828524288,v2_main,False,475,16.340082
221,4464652765148795136,v2_main,False,396,17.529768
222,4448242828981821824,v2_main,False,385,16.306885
223,6685604337007194368,v2_main,False,267,15.384011
224,6092654861665006592,v2_main,False,367,14.350184
225,6380360186645909760,v2_main,True,442,15.670912
226,1098489704734299648,v2_main,False,564,15.963542
227,3484138291549376128,v2_main,False,364,17.096634
228,1902733772704454016,v2_main,False,549,17.395308
229,4212627137946990336,v2_main,False,207,14.826513
230,4900838098856778112,v2_main,False,465,16.37552
231,4616146191642331008,v2_main,False,348,15.832723
232,2058205713339121536,v2_main,False,396,18.002235
233,6081541719686045952,v2_main,False,585,16.348843
234,1456415026297476992,v2_main,True,670,17.185143
235,2986866458326008448,v2_main,False,551,17.408487
236,6005815502025092992,v2_main,False,293,15.470342
237,1349949010439190912,v2_main,False,341,16.606823
238,6225739641707165440,v2_main,False,231,16.362024
239,5356232897165970432,retrieval_pr999,False,443,13.929626
240,5593444799901901696,retrieval_pr999,False,410,14.421466
241,2071382226300926848,v2_main,False,346,13.558182
242,5580526947012630912,v2_main,False,413,13.359833
243,5835518743163171840,retrieval_pr999,False,518,15.138004
244,5530442371304582912,v2_main,False,335,14.600246
245,1434445448240677376,v2_main,False,308,13.646986
246,2196619383835483648,v2_main,True,348,15.714505
247,3389767036738482432,v2_main,False,497,14.723441
248,5446811042991543040,v2_main,False,558,15.4597025
249,2366362710482784000,v2_main,False,346,15.790937
250,2856973972846420480,v2_main,False,392,16.506523
251,563358391929838336,v2_main,False,358,16.893097
252,2616906015627057536,retrieval_pr999,False,284,16.582623
253,5057007920103476864,v2_main,True,661,16.28825
254,1922876757004935424,v2_main,False,429,15.656704
255,1302010887584230784,v2_main,False,944,16.40668
256,2027582729629533696,v2_main,True,549,15.399555
257,4930855178612914816,retrieval_pr999,False,623,15.888049
258,1395978174949708288,v2_main,False,376,16.228045
259,1577111995387071232,v2_main,False,451,16.042362
260,5882977513221448704,v2_main,False,714,14.799769
261,2168531087999553408,v2_main,False,362,13.622122
262,3692114626793521152,v2_main,False,297,8.684179
263,1792154616987433600,v2_main,False,340,16.44564
264,1890314823227445376,v2_main,False,421,15.1618395
265,1201124064305883776,v2_main,False,504,15.572877
266,4221795454309083776,v2_main,False,380,16.935522
267,4069921356289901312,v2_main,False,249,14.401534
268,1560077227379405568,v2_main,False,562,16.011532
269,4320637632685061248,v2_main,False,414,14.482634
270,5882914875430922496,retrieval_pr999,False,537,12.9227085
271,4260079998213893760,v2_main,False,203,13.366061
272,5614692759035675520,v2_main,False,712,8.666283
273,1869118674294139008,v2_main,False,506,12.050419
274,1955406426990651776,v2_main,False,742,13.216662
275,441708116198062976,v2_main,False,336,11.053037
276,1007185297091149824,retrieval_pr999,False,314,14.617752
277,2995961897685517312,v2_main,False,342,12.9975
278,4343557708431977344,v2_main,False,508,16.789766
279,1908776684313443712,v2_main,False,902,17.094755
280,6344197627166228096,v2_main,False,370,16.37746
281,6005844776519053056,retrieval_pr999,False,328,16.27813
282,198931207138840448,v2_main,False,424,15.006746
283,2912857132367340160,v2_main,False,570,14.369349
284,5547414810758429056,v2_main,False,406,13.439848
285,2116649601042653184,v2_main,False,337,10.580911
286,2170362221530746368,v2_main,False,505,13.448885
287,6092954989675820416,v2_main,False,316,13.674644
288,2542287113548084352,v2_main,False,373,16.216599
289,5005110352796333824,v2_main,False,482,14.013529
290,2661432220757939456,v2_main,False,225,16.55587
291,5306169796288922496,retrieval_pr999,False,496,13.490888
292,4097602897229964544,v2_main,False,216,12.378122
293,2020361382098932992,v2_main,False,670,7.1856647
294,4578398926673187328,v2_main,False,561,15.024651
295,1995058424068416896,v2_main,False,544,14.982729
296,760918121514690304,v2_main,False,234,16.630844
297,1527562950559194880,v2_main,False,1007,16.77916
298,231936312825697152,v2_main,False,632,16.980864
299,2018177545831527808,v2_main,False,431,13.380405
300,1868691346530891136,v2_main,False,504,16.82045
301,1924985311071413888,v2_main,False,514,16.484186
302,4979419782578884224,v2_main,False,863,15.616482
303,5809204406161018624,v2_main,False,647,16.556156
304,2860763370952207872,v2_main,False,366,9.1051235
305,2120674191558186240,v2_main,False,352,16.58499
306,1415612596467815424,v2_main,False,276,16.628357
307,5273767326031324544,v2_main,False,389,17.102785
308,1422044022231502464,v2_main,False,336,16.95414
309,1966726242802331008,v2_main,False,527,15.249359
310,5049243375146501376,v2_main,True,575,14.745966
311,2362346022708005376,v2_main,False,502,16.391663
312,2025967959366721664,v2_main,False,482,12.559693
313,2168144330479387008,retrieval_pr999,False,375,12.33348
314,5297840411571635328,v2_main,False,450,14.03455
315,2674148450690144896,retrieval_pr999,False,437,14.189402
316,4391491467595797888,v2_main,False,497,16.862902
317,5968984130270654208,retrieval_pr999,False,510,13.184564
318,5351833716769179264,v2_main,False,419,12.021913
319,6481502062263141504,v2_main,False,412,13.579686
320,4160113092531867904,v2_main,False,250,15.19953
321,5375715865227179392,v2_main,False,468,15.906926
322,6002781674574739584,v2_main,False,426,16.672169
323,2639279294841026432,v2_main,False,314,15.744126
324,3012871287009431040,v2_main,True,537,14.7336855
325,4163244158035804928,v2_main,False,435,15.967406
326,1620057132862183168,v2_main,False,536,16.19788
327,1012306031978693632,v2_main,True,532,16.726416
328,5301976396358296704,v2_main,True,565,17.35406
329,3316943117456776576,v2_main,False,199,16.583155
330,493120661435228544,v2_main,False,530,13.245897
331,6362128458495488512,v2_main,False,418,12.316597
332,2713224608609910272,v2_main,False,203,16.044903
333,1579254496872812032,v2_main,False,413,14.497244
334,3403056073573564160,v2_main,False,346,16.023014
335,5327387312665407488,v2_main,False,352,16.97096
336,5260402384238267264,v2_main,False,293,15.637945
337,1644597098522570496,v2_main,False,370,11.293144
338,1028887114002082432,v2_main,False,276,13.593007
339,4779053132947770368,v2_main,False,357,14.062767
340,5852017396147657088,v2_main,False,589,13.77147
341,4783369128404125952,v2_main,False,285,6.354781
342,5746989086150710656,v2_main,False,357,15.480513
343,4244641244347007104,v2_main,False,317,10.608681
344,3043517631015173248,v2_main,False,463,16.348904
345,6542671158289237248,v2_main,False,254,14.507426
346,5239439645324648320,v2_main,False,427,16.207712
347,368970298120413312,v2_main,True,344,15.611252
348,5608603320027492352,v2_main,False,469,12.256974
349,4567626628997730688,v2_main,False,773,16.295483
350,5853552348740096640,v2_main,False,690,9.340313
351,5854275999140478976,v2_main,False,912,14.842318
352,786876461476350976,v2_main,False,804,15.93274
353,6421217935657933056,v2_main,False,615,16.326624
354,4949078553050934784,v2_main,False,484,16.535124
355,3382203461893841920,v2_main,False,227,14.242995
356,1076202294800574848,v2_main,False,427,14.63212
357,1086005914135704448,v2_main,False,337,16.17477
358,6877422215014646144,v2_main,False,331,10.27724
359,4804478927024064000,v2_main,False,395,15.431664
360,1979834822280900224,v2_main,False,449,12.15878
361,1982739530143208192,v2_main,False,607,13.1476555
362,989892556166737792,v2_main,False,273,15.042499
363,4465420396063544704,v2_main,False,574,16.08413
364,5796742369569612928,v2_main,False,519,15.982555
365,4827670204234557568,v2_main,False,490,16.61725
366,5804037869732076800,v2_main,False,524,15.727814
367,111249793386929920,v2_main,False,285,15.871186
368,4970585103570821376,v2_main,False,1005,17.188044
369,5325643246709449856,v2_main,False,488,14.357573
370,811943986554770944,v2_main,False,559,14.436764
371,3209114974192489600,v2_main,True,436,15.057109
